Kod stacji,DsJelw05,DsWrocWie,KpCiechoTezniowa,KpWloclSielska,LbBialaPOrzechowa,LdLodzWSSEMWodna40,MpKrakowWIOSAKra6117,MpKrakowWIOSPrad6115,MzWarszKrucza,PkPrzemWIOSDolin
Wskaźnik,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
3/23/2001 0:00,9,56.8,16.7,,13,45,58.9,35.1,,96.05
3/24/2001 0:00,5,,,,,35,51.3,39.4,28.5,
3/25/2001 0:00,4,,15.8,,8,,29.2,19.7,,33.04
3/26/2001 0:00,4,,,,,39,29.9,14.9,29.1,
3/27/2001 0:00,8,,36.5,29.2,14,48,34.8,18.5,33.5,36.02
3/28/2001 0:00,16,41.8,,,,32,32.6,25,39.7,
3/29/2001 0:00,8,63.7,37.6,21.5,15,34,39.7,36.2,34.1,72.02
3/30/2001 0:00,7,41.1,,,,49,56.2,26.5,40.3,
3/31/2001 0:00,5,24.9,27.2,,14,86,66.7,49.6,,
4/1/2001 0:00,6,62.9,37.6,,24,,63.2,51.8,,
4/2/2001 0:00,4,59.1,,,,84,72,55.8,40.3,
4/3/2001 0:00,6,39.6,47.1,29,17,65,83.6,67,90.5,105.52
4/4/2001 0:00,5,32.6,,,,66,65,50.9,37.2,
4/5/2001 0:00,6,14.7,30.3,18,22,63,47,36.6,36,54.52
4/6/2001 0:00,7,,,,,50,46.7,33.8,,
4/7/2001 0:00,5,,34.8,,16,41,32.4,24.2,,
4/8/2001 0:00,3,,,,,,28.7,30.1,37.2,
4/9/2001 0:00,5,,30.9,21,20,37,20.1,11.4,21.1,51.94
4/10/2001 0:00,16,,,,,36,35,16.1,20.5,
4/11/2001 0:00,22,,35.3,29,12,46,39.1,13.4,39.7,49.71
4/12/2001 0:00,6,,,,,26,50.5,26.3,26,
4/13/2001 0:00,3,,16.4,,12,16,29.2,18.3,40.3,25.44
4/14/2001 0:00,4,,,,,28,21,20.5,,
4/15/2001 0:00,3,,16.4,,7,,23.1,15.3,,30.13
4/16/2001 0:00,4,,,,,,23.2,10.4,,
