Kod stacji,DsLegAlRzecz,DsOsieczow21,DsWalbrzWyso,DsWrocNaGrob,DsZgorBohGet,KpBydBerling,KpGrudSienki,KpToruDziewu,KpWloclSiels,LbBiaPodOrze,LbChelJagiel,LbLubSliwins,LbZamoHrubie,LdLodzCzerni,LdLodzLegion,LdPioTrKraPr,LuGorzPilsud,LuZarySzyman,LuZielKrotka,MpBochKonfed,MpKrakBujaka,MpNoSaczNadb,MpTarBitStud,MpTrzebOsZWM,MpZakopaSien,MzOstroHalle,MzPlocKroJad,MzRadHallera,MzWarKondrat,MzWarWokalna,OpKluczMicki,OpOpoleOsAKr,PdBialWarsza,PdLomSikorsk,PkJasloSikor,PkKrosKletow,PkNiskoSzkla,PkRzeszRejta,PmGdaPowWiel,PmKosTargo12,PmSlupKniazi,SkBuskRokosz,SkKielJagiel,SkStaraZlota,SlBielSterni,SlCzestoZana,SlGliwicMewy,SlGodGliniki,SlKatoKossut,SlKatoPlebA4,SlTarnoLitew,SlZlotPotLes,SlZorySikors,WmElbBazynsk,WmOlsPuszkin,WmOstrChrobr,WmPuszczaBor,WpKaliSawick,WpPleszAlMic,WpPoznPolank,ZpKoszSpasow,ZpMyslZaBram,ZpSzczAndr01,ZpSzczec1Maj
Wskaźnik,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
3/4/2015,13,6,15,14,12,9,29,11,12,27,33,18,12,22,31,25,16,15,15,28,31,69,23,31,35,19,15,22,19,,13,24,17,23,42,41,16,22,48,27,14,23,31,20,17,18,20,42,26,43,14,13,32,16,16,16,11,17,24,13,11,12,10,3
3/5/2015,15,10,13,18,18,12,36,14,14,63,53,23,31,27,36,26,19,16,22,45,43,68,35,61,22,31,21,30,36,30,30,12,19,47,54,57,35,35,6,24,15,38,40,28,32,27,31,82,53,59,31,23,51,14,17,21,9,27,47,23,8,15,14,16
3/6/2015,19,12,18,25,18,21,45,25,17,47,58,39,50,29,45,39,32,25,27,42,58,47,49,61,36,23,29,38,34,31,35,17,15,32,43,60,33,47,11,31,14,37,33,40,30,33,53,105,43,63,44,31,22,20,28,28,11,36,48,,17,27,13,17
3/7/2015,38,19,21,38,19,24,42,27,28,57,60,50,45,41,52,73,30,28,30,55,79,73,68,71,50,37,34,56,39,39,26,24,37,52,69,86,59,70,11,25,19,73,53,58,56,55,75,76,77,83,80,49,11,17,27,28,19,36,36,32,21,30,27,18
3/8/2015,38,21,15,27,15,23,39,28,27,33,34,29,43,37,44,60,24,17,23,47,84,71,33,40,43,36,31,32,36,37,27,29,37,52,52,38,53,38,11,21,15,42,39,,39,43,32,37,48,63,35,32,39,24,26,28,26,31,31,26,18,24,17,11
3/9/2015,54,19,29,33,36,22,38,24,30,82,71,40,52,35,71,65,26,29,22,58,92,70,50,48,46,53,36,45,44,33,30,29,50,77,51,66,44,50,14,44,17,46,78,,36,45,39,52,34,56,26,23,40,25,,26,25,48,52,31,20,44,29,25
3/10/2015,50,37,53,58,31,39,62,54,56,146,111,102,128,78,127,133,35,37,35,80,81,81,94,51,47,86,68,76,93,76,64,69,106,,87,,69,90,23,41,21,55,110,81,60,104,84,93,35,86,61,45,84,29,42,36,27,112,103,46,22,38,31,29
3/11/2015,15,16,20,20,18,11,24,14,15,78,88,87,113,35,48,65,21,16,23,79,90,68,83,86,40,51,25,51,68,45,32,29,51,,90,,76,83,5,29,14,49,73,60,60,42,43,72,62,64,34,34,48,11,21,13,17,27,41,21,8,23,13,10
3/12/2015,19,16,21,21,18,10,18,14,12,16,21,14,18,17,20,24,11,16,21,27,18,25,20,20,24,10,16,16,14,11,29,22,14,,17,,18,19,3,22,,12,,18,35,20,19,29,17,28,17,14,17,9,14,12,7,30,45,13,4,23,9,7
3/13/2015,26,18,30,24,23,14,20,16,10,18,19,15,14,15,21,24,17,26,23,20,15,20,14,11,19,10,13,16,15,14,17,17,12,,16,23,11,16,11,34,,11,,10,21,15,21,34,18,21,10,9,30,20,13,16,8,25,32,20,13,23,14,16
3/14/2015,26,20,32,23,29,18,23,15,14,11,9,9,12,16,21,21,26,35,30,32,22,41,22,17,27,14,17,19,16,12,27,23,14,,19,21,11,21,18,30,15,10,15,9,13,19,41,49,27,25,27,12,27,11,14,22,12,26,27,24,31,34,25,21
3/15/2015,31,21,40,27,23,15,17,14,15,16,18,19,25,20,30,27,23,27,24,37,30,48,26,26,55,16,19,23,19,16,23,27,20,,25,24,20,30,20,24,7,19,22,18,38,22,37,46,26,28,37,20,29,10,17,14,18,25,21,21,18,27,16,16
3/16/2015,36,39,60,26,31,21,23,19,20,19,22,23,27,22,25,26,32,36,32,27,25,48,23,23,47,21,,21,23,19,18,26,18,,27,21,18,26,23,29,7,18,24,18,39,26,31,44,23,31,37,21,27,15,23,18,18,30,26,27,19,37,31,22
3/17/2015,31,25,29,25,20,21,21,18,22,22,32,29,36,24,28,28,32,28,27,32,32,38,27,23,32,23,25,26,23,19,23,24,22,,29,22,20,31,21,23,18,17,22,18,30,31,36,43,26,39,36,23,32,16,25,19,16,26,30,27,19,32,26,24
3/18/2015,31,23,72,27,31,28,59,41,29,35,40,38,44,36,41,48,29,29,25,42,38,55,38,23,42,42,41,49,47,33,29,24,38,,39,41,42,43,33,70,21,24,41,40,28,29,37,37,29,31,37,15,26,25,37,32,24,37,37,34,20,31,30,28
3/19/2015,70,43,85,49,56,48,113,65,43,105,75,47,82,46,74,94,55,66,40,76,48,59,58,36,34,60,52,82,67,42,56,38,75,,60,61,50,68,49,92,45,40,71,93,33,78,56,58,54,53,62,36,44,45,54,48,21,72,81,72,39,73,58,48
3/20/2015,97,50,,55,55,69,122,81,60,84,89,49,57,51,67,100,76,78,46,77,84,72,73,54,44,62,66,61,76,54,61,63,66,,70,87,58,72,41,76,51,53,83,63,58,,86,86,66,86,70,36,50,45,50,58,34,82,91,105,48,90,51,50
3/21/2015,61,64,,63,45,47,50,54,49,105,87,88,42,56,67,69,41,57,48,54,83,72,63,58,50,47,60,62,53,52,52,46,47,,59,48,55,45,14,31,22,62,105,47,48,60,40,71,52,57,55,44,45,18,29,35,21,57,72,61,21,45,39,23
3/22/2015,14,7,,14,15,7,13,15,9,32,,23,27,9,20,26,9,14,9,56,54,49,43,29,38,17,10,29,17,9,20,25,16,,37,29,37,31,8,19,10,30,27,23,37,22,41,59,29,37,36,17,47,10,10,12,3,17,21,14,4,18,9,8
3/23/2015,43,24,,37,30,24,39,36,42,31,,34,38,24,33,55,26,32,32,59,53,46,36,23,41,36,34,39,29,19,40,41,24,,35,30,47,26,17,29,18,24,32,42,29,54,86,108,59,52,56,19,65,23,22,19,10,49,60,34,18,36,22,15
3/24/2015,55,38,,57,38,46,68,63,51,44,,37,40,39,66,69,55,39,40,39,81,45,27,36,31,49,51,49,48,40,54,48,79,,42,33,49,,32,60,42,35,51,40,33,86,73,98,,70,61,42,,38,49,49,,65,73,67,41,80,50,40
3/25/2015,53,49,,49,42,45,62,58,24,56,,38,41,46,56,58,72,51,52,29,45,42,32,14,31,60,58,46,65,54,35,40,65,,41,50,47,,28,63,43,31,49,40,28,58,72,73,,55,48,32,46,40,55,56,39,53,73,84,44,67,53,46
3/26/2015,39,34,36,33,34,46,55,43,38,40,,45,45,38,44,57,47,47,42,32,38,37,29,,23,51,47,41,43,38,34,42,46,,41,36,48,,56,59,47,27,41,43,20,57,54,52,,44,69,27,45,36,44,44,34,44,59,47,43,51,48,44
3/27/2015,24,16,30,34,18,22,40,27,28,36,,43,41,44,47,56,27,27,26,37,23,32,28,19,18,38,36,41,41,38,30,38,33,,30,27,39,28,28,37,,25,34,38,18,43,49,37,35,40,48,31,49,19,32,39,31,43,55,32,9,27,20,23
3/28/2015,34,18,,26,26,24,58,42,24,12,,12,8,38,42,46,21,29,27,40,34,34,35,35,24,30,33,38,30,24,19,19,10,,28,31,22,29,21,44,18,26,31,33,29,27,21,30,21,22,25,25,28,20,19,23,14,35,50,22,21,27,22,22
3/29/2015,13,15,,25,16,26,64,35,28,14,,21,24,33,41,41,14,17,21,28,32,24,25,33,23,27,30,33,33,30,28,29,11,,25,29,32,13,29,25,16,22,25,24,17,21,33,,29,38,36,27,35,15,26,24,11,33,40,23,17,17,12,16
3/30/2015,5,3,,6,6,4,8,4,3,15,,11,13,9,12,10,4,11,6,8,7,12,9,,7,11,6,9,9,8,5,3,9,,10,15,10,12,7,5,4,4,5,7,6,7,12,11,6,10,9,11,7,5,8,7,7,6,9,4,3,3,3,3
3/31/2015,6,3,,7,,6,13,5,6,9,12,8,11,9,16,16,4,9,8,8,10,10,10,,6,7,8,8,6,6,6,3,7,,6,7,7,8,10,9,8,6,6,7,8,14,12,14,11,10,9,10,11,5,10,8,5,8,11,6,6,,5,6
4/1/2015,5,3,,15,,3,6,4,3,10,12,4,9,6,10,9,5,4,6,8,8,10,11,,8,6,5,7,5,,6,3,3,,6,8,5,8,6,11,6,5,4,4,11,11,9,10,9,18,8,6,11,6,5,5,,6,46,4,3,3,4,4
4/2/2015,8,4,8,8,7,5,14,10,5,21,12,9,15,11,22,16,5,10,9,11,11,16,12,8,6,10,9,13,10,,8,8,18,,6,,11,9,6,15,4,7,9,13,9,11,11,10,11,15,15,8,9,9,7,8,3,11,21,10,4,7,5,6
4/3/2015,8,5,,9,13,8,17,11,5,16,23,16,13,14,18,17,11,9,12,24,15,20,18,9,19,12,10,10,11,11,12,10,9,,12,,13,11,7,17,13,8,11,12,10,17,9,13,10,18,9,7,22,6,6,6,2,11,20,8,6,10,6,7
4/4/2015,10,6,,8,19,9,18,14,10,19,24,13,17,15,20,16,12,12,10,30,27,39,27,32,22,8,14,13,12,13,12,12,6,,26,,12,19,7,19,10,14,12,12,21,16,26,46,17,27,17,12,34,7,5,8,2,14,24,9,8,14,8,7
4/5/2015,10,11,,11,26,6,13,5,5,17,24,15,13,14,17,18,13,16,10,32,38,50,30,43,24,6,9,12,8,7,20,11,7,,24,,16,26,5,17,7,16,16,5,43,14,12,47,29,24,13,14,40,4,2,4,3,14,47,8,4,13,9,7
4/6/2015,16,11,,14,23,8,16,8,8,27,13,11,9,13,19,13,8,16,12,29,20,26,15,26,16,9,9,12,12,9,20,14,10,,14,,14,16,7,24,20,8,10,9,29,15,19,36,26,27,14,12,21,6,6,8,6,19,48,13,6,13,8,8
4/7/2015,14,11,,18,21,12,20,13,13,19,23,15,15,18,26,22,14,15,15,22,19,27,22,20,25,17,17,17,17,15,19,18,14,,16,,17,16,10,18,14,11,15,13,34,19,20,30,24,27,19,18,28,9,8,10,10,21,36,16,12,12,14,10
4/8/2015,16,11,,14,25,8,15,10,4,13,19,11,13,16,24,22,12,13,15,20,16,17,16,19,31,8,14,13,11,9,13,15,7,,12,,14,15,9,36,13,10,14,11,25,16,18,25,20,24,14,15,20,12,8,8,6,17,31,14,12,15,11,15
4/9/2015,19,13,18,22,25,15,43,17,11,29,26,15,14,11,19,29,15,18,15,17,21,21,15,13,26,12,14,16,14,16,19,19,23,14,18,,16,21,13,41,19,12,22,15,29,21,32,42,22,23,33,11,29,14,,13,6,24,52,24,14,35,21,15
4/10/2015,37,20,29,40,28,26,69,39,29,64,49,34,23,33,55,51,31,33,23,26,43,38,16,29,26,30,36,39,34,48,23,33,15,40,20,,28,17,22,35,,30,46,32,35,41,44,59,36,43,39,26,48,22,,31,13,40,,45,22,45,33,19
4/11/2015,23,17,21,29,21,35,63,44,32,37,26,28,20,39,50,42,22,29,19,26,48,38,24,26,25,44,39,45,48,42,19,24,49,45,22,,27,19,32,42,19,34,42,,22,45,41,39,37,37,36,23,40,27,,30,17,34,41,42,16,31,23,18
4/12/2015,11,5,13,12,10,8,13,7,9,26,28,18,28,15,25,23,8,9,8,23,29,28,19,18,18,17,12,17,15,14,10,10,19,19,18,,23,20,8,17,8,21,33,,20,16,22,32,24,23,20,10,23,10,8,12,9,13,45,10,6,11,6,4
4/13/2015,10,8,16,16,,13,27,11,15,21,24,20,18,20,34,17,12,11,10,12,22,20,11,20,14,12,17,14,17,14,8,11,10,11,14,,15,11,8,14,6,11,19,18,17,21,13,22,23,22,17,14,22,6,7,8,6,17,32,13,8,7,11,5
4/14/2015,14,9,13,13,,7,12,8,3,12,21,9,14,12,17,12,13,15,12,16,18,20,12,18,14,7,9,11,11,10,9,8,7,8,10,16,12,8,8,17,4,7,11,10,12,14,14,29,24,17,12,13,29,5,5,7,4,10,27,14,9,11,10,7
4/15/2015,12,9,20,17,13,10,18,19,11,27,32,18,21,19,43,16,14,18,11,16,20,30,19,21,21,16,16,19,21,21,14,13,13,20,16,16,14,17,10,23,9,16,13,16,12,18,21,21,28,25,12,11,24,8,10,14,9,19,21,18,15,12,12,9
4/16/2015,12,9,13,14,12,6,13,7,8,21,31,13,18,12,14,16,9,11,12,19,19,19,13,20,25,10,10,16,10,12,11,12,9,12,19,18,16,12,7,13,5,18,16,12,10,21,16,27,27,24,19,13,27,6,4,6,4,17,26,10,5,9,7,4
4/17/2015,8,7,9,11,8,8,17,6,5,16,26,13,18,13,15,18,9,9,12,27,23,37,24,19,24,10,11,15,11,11,14,10,9,13,21,28,19,18,7,18,13,15,20,20,24,14,12,23,14,18,15,13,22,4,5,6,4,15,30,9,5,7,7,5
4/18/2015,8,10,12,9,12,6,15,8,7,14,15,8,11,9,14,16,9,9,8,21,12,15,13,14,19,7,14,10,9,7,9,8,9,9,10,13,11,11,7,18,8,11,14,11,19,10,12,14,17,13,22,9,18,6,7,4,5,14,37,8,5,14,6,5
4/19/2015,11,13,12,10,14,8,12,4,9,13,17,14,12,15,21,20,16,16,11,28,19,21,21,19,18,9,12,15,11,12,8,10,8,,17,25,14,15,8,12,,17,17,13,18,16,12,16,17,18,13,12,18,8,7,5,5,14,,9,6,25,9,6
4/20/2015,8,8,10,14,12,7,14,7,7,14,11,9,11,18,21,21,11,8,9,23,32,21,12,24,29,7,11,9,8,7,13,8,8,9,9,13,11,8,8,16,12,7,14,10,20,26,16,28,32,28,25,18,20,5,7,5,4,23,,10,6,9,9,7
4/21/2015,10,9,18,21,11,8,14,13,7,17,14,8,12,11,15,13,14,11,11,18,15,26,14,13,33,12,11,13,12,11,15,9,17,16,13,19,9,11,9,17,6,11,10,12,15,14,13,22,24,19,13,9,,9,7,5,5,20,,15,9,10,12,7
4/22/2015,16,17,28,17,27,11,28,11,,54,45,19,16,19,21,31,19,21,17,17,26,30,25,15,21,16,14,23,19,21,16,13,21,24,18,17,19,16,11,15,8,16,34,28,23,13,17,24,26,27,14,12,18,15,11,9,5,21,,18,14,17,16,10
4/23/2015,15,17,30,21,23,14,14,11,,20,30,19,21,27,37,28,19,17,13,21,33,28,29,33,19,15,14,21,18,19,24,16,20,20,23,26,18,23,12,13,6,23,33,27,33,47,20,32,38,41,28,14,19,11,12,13,7,26,,20,14,14,11,9
4/24/2015,22,17,32,25,23,11,14,23,7,21,26,21,19,27,36,28,26,25,16,22,29,31,22,25,24,13,15,24,17,15,26,26,16,21,22,26,20,19,14,23,,22,30,21,25,51,28,30,40,42,27,19,25,10,14,9,8,28,,33,12,25,17,14
4/25/2015,16,15,19,19,15,19,30,33,22,21,21,19,17,27,35,33,20,16,16,10,23,23,16,14,18,26,24,25,28,23,17,18,29,38,19,19,25,15,27,36,19,18,28,24,19,32,21,17,18,17,26,,17,19,18,17,15,26,,31,21,19,20,17
4/26/2015,9,8,14,11,12,14,23,11,11,18,17,15,13,17,20,21,15,15,12,12,21,18,13,18,21,24,15,16,20,17,8,8,20,29,12,9,16,13,,26,7,14,22,14,16,19,18,26,11,21,16,11,21,16,20,19,21,15,,14,20,17,18,12
4/27/2015,11,9,15,13,14,14,16,7,13,13,14,11,14,15,20,19,14,13,13,10,17,16,11,13,21,15,14,14,15,16,15,16,16,17,12,13,14,12,18,19,7,11,14,14,14,20,23,24,17,22,20,12,21,12,15,11,12,19,,17,13,16,11,13
4/28/2015,7,5,6,8,11,5,9,6,10,16,18,15,18,18,22,11,10,7,9,11,16,16,11,12,14,15,18,17,15,17,11,11,17,17,11,12,16,14,9,15,9,10,14,15,11,13,15,19,20,18,16,10,14,13,9,7,12,17,,9,7,12,8,6
4/29/2015,9,6,13,10,9,8,16,15,7,30,21,10,12,17,18,,12,11,9,16,13,16,14,12,18,10,12,17,13,11,13,12,8,13,11,10,11,11,10,23,4,11,16,13,11,18,20,32,15,19,12,12,26,5,11,5,4,22,,15,7,13,8,11
4/30/2015,18,9,17,21,18,16,29,19,15,20,17,10,14,20,29,,16,17,14,15,20,20,14,15,20,14,17,16,15,15,19,24,18,10,14,14,17,13,18,25,9,13,18,15,27,17,25,35,23,30,28,13,27,11,11,9,7,34,,26,13,17,,15
5/1/2015,21,12,27,21,22,13,18,15,17,17,19,14,15,23,27,,10,15,10,27,25,21,22,19,22,15,21,21,17,19,19,25,14,19,18,17,22,17,18,24,6,18,17,15,27,19,24,24,23,30,26,18,26,11,10,9,10,30,39,19,12,12,10,13
5/2/2015,20,9,20,20,18,8,20,10,8,27,25,14,17,17,26,,15,18,12,25,25,29,21,17,21,10,14,19,13,20,14,22,9,16,18,19,15,19,9,15,6,16,15,17,38,20,22,41,17,23,17,14,33,1,7,5,6,21,44,16,11,14,11,8
5/3/2015,17,12,16,22,18,11,33,17,19,21,19,17,19,17,20,,19,23,13,16,21,27,17,13,22,14,15,17,16,22,15,19,11,21,14,17,14,17,10,22,6,13,20,18,21,29,35,37,29,20,21,7,12,8,11,6,5,26,26,26,10,16,11,13
5/4/2015,10,7,15,10,10,12,26,16,14,17,20,14,20,18,25,,14,12,11,14,17,17,12,14,17,19,23,23,19,19,11,11,15,24,12,13,15,12,19,29,4,14,15,14,15,25,20,25,,19,20,11,,14,16,14,11,19,24,15,12,17,11,12
5/5/2015,14,13,19,17,13,13,25,19,5,17,15,17,15,17,20,15,17,14,15,13,18,16,14,13,15,23,17,17,19,19,16,16,16,18,13,13,13,11,23,20,3,12,15,19,12,23,19,23,,30,29,12,18,13,15,11,12,25,31,19,12,14,12,19
5/6/2015,9,7,10,11,7,7,12,9,8,17,16,13,10,15,16,12,11,10,10,11,14,14,12,13,14,15,13,15,14,14,12,12,,20,12,16,12,13,12,16,4,9,11,10,17,10,14,17,,18,10,11,14,8,9,13,9,17,20,11,6,9,6,6
5/7/2015,10,7,14,14,10,9,11,8,9,13,14,9,8,10,12,10,11,10,10,12,15,15,12,11,10,10,9,11,13,11,8,9,11,11,10,15,12,10,11,13,4,7,9,10,11,11,21,13,13,15,8,9,14,7,9,,6,13,18,11,7,8,4,7
5/8/2015,10,7,15,12,9,6,11,18,6,16,18,8,13,10,14,13,24,11,10,17,13,15,10,10,13,,10,13,11,11,9,11,10,11,9,14,11,12,8,14,,8,9,11,12,12,13,19,12,14,13,13,14,6,10,,4,14,18,,7,11,8,8
5/9/2015,12,8,16,13,11,12,13,17,10,16,17,14,15,13,16,19,17,12,11,19,23,20,15,14,19,15,12,17,17,14,11,18,12,12,14,16,15,17,12,15,9,12,14,19,16,23,21,19,14,17,17,9,26,8,13,,7,21,26,14,11,16,9,14
5/10/2015,6,5,,8,8,6,7,6,7,12,14,13,11,12,15,11,9,9,6,15,18,15,15,16,13,14,12,13,14,14,5,7,11,15,12,15,15,14,6,11,10,10,11,11,18,13,10,11,10,13,9,8,7,7,11,,,16,17,5,6,9,5,6
5/11/2015,7,6,15,9,8,6,8,7,5,22,19,8,9,6,9,10,12,8,10,10,11,11,10,10,13,7,7,12,10,9,3,8,10,10,9,11,11,9,5,10,,10,10,9,10,13,12,15,9,12,11,9,11,5,12,,3,11,12,15,8,11,7,5
5/12/2015,15,10,40,13,13,11,9,10,6,18,11,12,9,11,14,15,16,11,14,16,19,19,13,13,17,12,13,14,16,14,10,16,13,14,13,11,13,11,10,14,15,11,15,13,13,15,19,21,21,18,17,9,24,13,13,,10,19,17,12,12,14,10,10
5/13/2015,10,7,18,11,8,5,7,6,5,14,18,10,11,9,12,14,12,12,8,15,17,20,17,12,21,8,10,14,9,9,6,10,8,11,13,16,17,14,6,11,6,16,13,12,11,12,15,19,19,16,14,9,17,4,10,,4,13,16,8,5,8,6,5
5/14/2015,11,9,14,12,9,5,11,7,6,17,14,11,12,12,15,13,7,9,10,20,20,21,18,16,16,8,9,11,12,11,6,13,8,9,14,16,13,15,5,9,,12,13,12,19,13,19,33,26,23,12,10,29,2,6,,4,17,25,13,6,6,4,4
5/15/2015,11,7,14,11,11,6,12,7,6,,16,8,9,9,14,13,11,10,11,16,22,21,19,18,18,7,7,10,10,9,5,8,7,10,14,17,14,13,5,12,11,10,12,10,12,11,9,30,17,20,14,15,23,6,8,7,4,16,25,22,6,9,9,5
5/16/2015,12,13,17,16,14,9,14,10,7,15,15,12,16,12,12,18,18,15,14,17,25,22,22,25,23,8,10,16,15,11,12,12,9,17,17,21,19,19,8,14,10,16,19,16,11,22,23,27,26,19,17,10,26,6,7,7,4,21,32,18,9,14,9,6
5/17/2015,9,9,13,10,9,7,8,8,9,15,20,11,15,10,15,10,10,9,11,15,18,17,19,13,20,7,11,13,9,9,6,9,8,10,14,18,17,14,4,9,,13,16,13,9,11,9,16,17,11,11,13,18,3,7,5,4,16,18,10,5,5,6,4
5/18/2015,13,11,15,13,11,8,,8,12,18,16,11,14,14,17,16,14,16,16,15,17,16,14,18,22,11,12,14,15,13,11,11,12,15,12,13,18,11,4,10,,14,18,13,11,18,18,21,20,26,15,10,12,3,11,5,4,20,23,15,5,12,7,5
5/19/2015,13,17,15,14,12,29,,14,15,26,21,15,19,16,18,21,17,16,16,19,23,22,16,20,27,15,15,17,20,17,13,13,19,22,15,16,24,14,8,15,,16,22,17,16,20,17,21,25,25,23,15,11,11,12,12,11,22,23,20,8,14,10,9
5/20/2015,12,9,11,13,11,10,,12,9,20,20,15,22,20,20,20,13,8,14,21,21,21,20,18,15,18,13,17,18,17,14,13,14,16,15,17,22,12,6,15,10,18,19,17,13,16,23,18,19,24,22,15,17,6,10,9,6,17,26,17,10,13,10,11
5/21/2015,14,13,12,14,9,11,,7,8,5,13,10,9,10,13,14,13,8,15,13,12,10,11,9,6,9,10,11,11,8,12,13,7,9,11,14,10,10,8,14,,12,10,8,16,13,13,27,11,15,11,12,13,4,10,5,4,19,30,17,7,13,8,10
5/22/2015,13,10,15,15,12,21,,10,9,14,7,7,4,10,12,17,11,9,14,9,9,11,8,18,6,11,9,11,13,12,13,14,13,11,5,6,7,6,10,16,,7,13,7,15,13,21,19,14,16,17,13,12,8,11,10,5,23,33,15,8,14,10,9
5/23/2015,15,13,,12,14,22,,15,15,12,10,9,7,11,18,18,13,13,15,13,12,15,10,11,10,15,13,15,24,16,10,11,16,23,9,9,8,9,10,17,10,9,11,9,13,13,15,22,15,15,20,15,19,8,12,10,11,20,25,18,9,16,12,8
5/24/2015,19,9,16,18,11,14,,6,9,13,9,10,6,14,20,20,10,6,11,16,13,17,12,11,9,11,12,13,19,16,11,10,20,11,10,12,9,10,8,14,10,8,13,9,14,14,17,19,13,13,18,9,14,5,7,6,4,17,22,8,8,9,9,6
5/25/2015,16,13,17,18,16,20,,16,13,12,12,11,9,15,16,19,12,11,15,20,19,21,16,17,10,11,15,17,16,15,15,14,18,11,13,20,12,9,13,17,12,12,15,8,22,13,22,21,21,22,22,12,22,10,18,10,8,25,24,18,10,14,12,11
5/26/2015,11,9,13,13,9,18,,12,12,11,12,12,12,16,19,19,8,6,9,20,19,14,15,16,7,10,9,14,13,12,13,15,14,12,15,19,19,20,9,9,8,11,9,11,17,13,16,22,24,21,18,18,24,7,10,11,8,22,36,12,4,7,7,4
5/27/2015,7,6,8,,6,11,,5,6,7,7,6,5,6,11,8,6,5,9,12,9,10,8,10,11,7,6,8,8,7,3,8,5,9,6,11,6,7,8,8,8,5,8,8,18,10,9,11,15,12,10,8,14,5,5,7,5,11,22,8,4,5,5,4
5/28/2015,9,7,10,,9,11,,8,6,10,18,9,5,8,11,11,10,9,10,15,12,14,13,11,18,7,7,8,9,8,8,10,9,9,10,13,,12,9,13,,8,9,9,13,10,7,14,18,13,11,8,15,6,5,7,5,12,20,11,7,,7,5
5/29/2015,18,8,13,,8,9,10,9,9,16,20,14,13,15,19,23,7,8,8,16,17,20,17,14,18,14,11,14,18,17,10,14,15,15,13,14,19,16,8,14,9,14,18,15,11,20,17,18,21,24,16,17,21,9,9,10,8,16,22,13,6,9,7,6
5/30/2015,8,6,13,,6,10,11,10,9,16,14,14,13,12,17,13,8,7,6,16,15,16,13,14,18,15,13,13,15,15,8,7,15,15,13,13,16,11,14,17,10,11,14,12,10,15,11,15,20,16,15,14,18,10,11,11,11,15,26,17,7,8,6,7
5/31/2015,9,7,9,,9,4,7,7,7,14,13,10,11,8,10,10,7,6,7,11,9,11,12,11,11,9,7,9,9,8,6,7,10,11,8,10,15,10,9,13,10,8,10,9,11,12,10,13,12,14,12,11,12,6,5,4,6,10,37,9,4,7,6,5
6/1/2015,,7,12,,8,6,11,9,6,25,13,13,14,11,14,13,7,9,6,15,16,16,14,13,14,15,11,15,16,14,8,13,15,15,13,15,15,14,9,11,11,12,14,13,13,17,16,18,17,21,16,13,,7,8,8,16,15,28,12,7,9,9,5
6/2/2015,10,6,9,11,7,4,9,7,10,17,17,16,15,10,12,10,10,6,9,20,25,19,17,21,24,11,10,19,15,13,9,8,16,15,15,22,17,16,10,10,11,16,20,18,13,16,17,18,24,32,16,21,18,8,8,7,,13,23,13,6,9,8,7
6/3/2015,10,9,12,12,10,8,11,10,5,18,19,17,15,11,17,13,12,8,11,20,18,20,17,20,20,12,12,18,13,12,11,10,13,13,18,23,16,19,10,10,9,13,16,15,13,17,15,14,19,12,17,11,12,12,10,12,,14,29,15,7,,7,6
6/4/2015,8,7,8,9,8,3,6,7,4,7,11,8,7,8,11,9,5,7,6,12,16,15,11,12,18,7,7,9,8,7,6,8,5,6,12,13,10,10,7,8,7,7,8,9,11,8,14,12,12,13,11,11,13,6,4,5,7,9,14,6,4,7,5,3
6/5/2015,13,8,10,21,11,5,9,6,6,10,13,8,8,10,13,13,9,9,10,10,12,17,7,9,19,8,7,8,9,7,8,11,10,7,9,13,8,10,10,15,,6,11,6,11,12,13,14,,10,12,11,12,6,5,6,14,15,26,9,7,10,8,7
6/6/2015,16,14,14,17,17,10,13,10,10,12,11,11,9,12,16,15,16,14,15,18,21,19,14,16,22,8,12,15,14,12,12,14,12,11,15,17,12,12,17,17,11,11,13,20,21,21,20,20,18,19,19,17,18,8,10,11,,17,25,16,13,17,14,11
6/7/2015,11,9,11,13,11,5,7,8,7,15,15,16,14,15,20,20,6,8,8,21,25,23,18,19,22,11,14,17,15,16,14,13,14,11,18,23,20,19,12,9,5,16,16,17,16,21,22,18,24,25,21,23,21,9,6,7,10,15,19,10,5,7,7,3
