Kod stacji,DsLegAlRzecz,DsOsieczow21,DsWalbrzWyso,DsWrocNaGrob,DsZgorBohGet,KpBydBerling,KpGrudSienki,KpToruDziewu,KpWloclSiels,LbBiaPodOrze,LbChelJagiel,LbLubSliwins,LbZamoHrubie,LdLodzCzerni,LdLodzLegion,LdPioTrKraPr,LuGorzPilsud,LuZarySzyman,LuZielKrotka,MpBochKonfed,MpKrakBujaka,MpNoSaczNadb,MpTarBitStud,MpTrzebOsZWM,MpZakopaSien,MzOstroHalle,MzPlocKroJad,MzRadHallera,MzWarKondrat,MzWarWokalna,OpKluczMicki,OpOpoleOsAKr,PdBialWarsza,PdLomSikorsk,PkJasloSikor,PkKrosKletow,PkNiskoSzkla,PkRzeszRejta,PmGdaPowWiel,PmKosTargo12,PmSlupKniazi,SkBuskRokosz,SkKielJagiel,SkStaraZlota,SlBielSterni,SlCzestoZana,SlGliwicMewy,SlGodGliniki,SlKatoKossut,SlKatoPlebA4,SlTarnoLitew,SlZlotPotLes,SlZorySikors,WmElbBazynsk,WmOlsPuszkin,WmOstrChrobr,WmPuszczaBor,WpKaliSawick,WpPleszAlMic,WpPoznPolank,ZpKoszSpasow,ZpMyslZaBram,ZpSzczAndr01,ZpSzczec1Maj
Wskaźnik,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
1/15/2015,12,6,8,14,9,12,21,15,16,51,39,35,37,22,29,30,6,8,12,17,45,59,25,27,54,29,23,31,23,21,8,11,35,50,19,25,44,19,,19,10,18,26,35,7,42,29,30,11,,36,17,26,13,20,20,13,17,22,11,8,15,6,10
1/16/2015,49,16,23,32,26,19,41,25,29,22,21,17,23,31,39,61,16,26,31,16,109,19,21,29,48,27,34,32,30,27,19,29,25,45,20,18,18,13,20,34,17,23,27,23,11,47,57,76,30,,46,23,32,24,27,23,25,30,37,29,14,22,7,14
1/17/2015,42,18,36,42,25,32,63,37,38,36,39,28,25,38,49,47,15,33,31,29,50,41,38,30,45,37,39,35,40,39,30,42,28,52,22,18,24,19,18,44,17,30,32,28,22,36,,,39,,30,30,25,25,31,74,27,39,63,36,15,24,12,17
1/18/2015,53,22,25,36,41,31,56,42,56,58,34,25,42,44,58,94,17,55,40,40,35,43,33,33,37,42,49,34,71,49,30,29,72,107,32,38,42,38,18,27,21,22,15,21,48,37,57,84,41,,45,22,52,21,25,31,15,65,59,35,22,39,23,16
1/19/2015,36,32,41,30,45,34,43,34,38,25,14,16,19,31,44,46,16,48,36,37,28,34,27,23,24,17,35,31,64,26,29,27,26,40,26,30,19,20,27,38,24,15,21,15,40,22,,67,26,,49,17,14,35,36,33,24,48,56,39,28,43,30,28
1/20/2015,56,37,64,65,56,20,21,18,24,16,11,17,22,20,39,37,18,52,53,43,36,63,37,35,65,16,23,17,22,16,35,58,16,21,25,22,19,21,18,37,22,21,19,14,84,28,60,110,36,,61,20,51,12,20,14,15,45,45,40,24,48,33,21
1/21/2015,30,18,42,45,30,30,51,28,17,15,22,22,39,55,66,79,21,27,33,67,64,63,62,55,74,31,44,42,44,39,56,65,22,40,40,32,23,35,46,45,29,36,51,41,,70,99,141,80,,98,49,116,25,24,22,13,59,66,48,25,34,40,25
1/22/2015,51,44,66,48,55,38,54,40,43,19,16,23,29,40,48,50,16,53,49,42,32,77,43,25,67,36,45,34,39,35,49,38,19,38,45,41,24,31,35,55,23,22,29,20,35,26,8,69,43,34,48,19,37,32,42,39,17,54,67,56,23,36,30,18
1/23/2015,46,22,24,50,32,25,55,28,34,29,19,20,19,25,35,39,13,30,30,40,29,41,30,28,44,16,30,24,19,17,28,27,15,27,32,40,29,33,21,61,,23,20,20,40,19,31,48,27,34,25,15,39,31,24,30,13,43,89,40,37,31,29,27
1/24/2015,32,19,30,29,29,24,49,26,30,12,10,12,18,31,44,48,16,27,36,46,28,31,25,26,27,24,29,23,29,28,37,31,15,34,16,18,28,19,24,97,30,23,16,15,42,27,18,47,35,41,29,26,39,19,23,28,15,34,66,52,22,31,21,31
1/25/2015,23,13,18,23,22,30,41,22,38,15,13,15,22,43,47,55,23,19,31,57,45,38,35,45,34,26,39,29,33,29,29,24,14,30,25,35,20,23,28,57,39,27,26,26,45,36,30,45,48,52,35,32,33,31,29,30,19,38,63,33,25,16,15,23
1/26/2015,31,14,15,23,19,15,44,25,22,47,52,35,44,32,44,69,9,15,25,80,71,58,51,56,34,42,36,49,42,44,23,23,29,65,55,74,42,48,10,36,14,38,39,54,37,58,27,37,30,48,59,23,55,24,33,33,19,29,34,21,12,23,8,14
1/27/2015,14,3,10,15,13,24,47,14,24,38,30,31,30,33,52,46,6,9,13,40,71,79,34,45,66,43,39,41,36,33,16,17,37,59,38,36,37,32,35,30,21,41,36,35,15,36,,56,47,57,39,27,,38,42,39,30,23,35,18,6,7,6,12
1/28/2015,16,7,10,15,15,13,28,15,12,27,33,15,30,22,32,31,7,12,16,43,43,77,38,44,29,21,19,24,19,19,14,17,23,35,33,33,33,26,8,21,5,26,16,20,19,17,,23,32,48,37,13,30,15,18,14,21,17,23,17,7,12,7,8
1/29/2015,12,6,11,14,12,12,29,22,14,21,11,18,14,23,32,45,6,14,12,17,33,17,18,30,49,23,25,32,26,22,13,15,23,38,14,14,18,12,12,20,9,21,26,26,11,24,21,28,23,21,27,20,15,15,22,19,19,17,21,13,6,12,5,10
1/30/2015,17,9,15,17,15,22,31,24,24,18,19,19,23,24,44,35,13,19,18,19,29,19,18,34,11,26,30,24,28,22,24,24,21,25,15,12,20,15,,21,24,13,18,20,9,29,37,25,44,45,55,15,22,25,28,23,21,32,35,26,23,32,16,31
1/31/2015,14,9,17,21,14,16,38,26,18,28,29,22,25,24,35,29,,17,15,28,26,49,38,32,19,26,25,32,25,26,19,14,19,38,30,16,22,25,19,,20,25,21,27,35,9,23,,20,37,24,18,20,18,21,48,14,24,26,22,15,13,9,13
2/1/2015,39,17,19,26,20,20,41,21,24,33,87,38,71,27,41,70,,18,21,48,64,125,60,53,75,29,33,53,30,32,22,38,24,60,52,,29,63,12,22,16,43,52,,19,30,53,61,37,73,73,39,49,16,22,24,12,33,45,37,15,23,15,15
2/2/2015,21,12,30,33,15,23,47,13,33,110,118,82,84,56,78,135,,16,20,102,150,147,118,92,53,66,44,89,67,71,47,57,78,103,140,,79,100,16,25,12,99,110,,112,136,95,85,97,116,124,79,69,24,35,35,38,43,48,29,14,18,9,11
2/3/2015,30,11,18,26,18,18,57,11,22,89,84,51,51,46,55,78,10,15,20,37,58,109,51,49,74,82,38,52,56,53,27,39,105,112,100,86,57,58,20,29,18,75,48,,39,52,45,38,36,62,66,43,14,26,43,32,60,28,32,24,12,11,8,11
2/4/2015,22,9,20,27,25,29,76,29,21,81,85,56,50,44,60,75,,16,19,60,75,92,39,37,71,86,28,90,70,63,36,36,73,90,50,43,62,46,32,41,26,45,52,,30,56,74,90,65,71,69,28,67,49,32,36,51,41,67,29,25,20,13,16
2/5/2015,51,35,35,45,34,65,104,83,49,87,97,86,60,48,63,74,19,49,39,61,47,50,64,41,31,45,49,80,62,56,41,46,42,65,43,43,67,63,43,94,31,50,50,,73,50,84,88,71,73,64,43,8,42,40,59,30,72,97,56,29,45,34,41
2/6/2015,40,35,41,37,38,32,68,36,30,56,28,25,13,44,53,59,,46,40,23,27,28,23,21,19,35,37,40,37,41,30,25,28,54,21,22,19,24,28,71,47,20,16,24,48,15,35,35,31,31,32,21,24,31,30,35,28,44,64,49,51,45,48,26
2/7/2015,32,26,35,36,28,19,38,21,24,44,46,31,32,37,54,46,,27,23,43,43,66,38,45,34,33,34,38,36,40,34,32,24,36,43,30,34,30,8,16,13,36,32,31,31,27,38,41,46,55,41,33,47,10,16,21,15,38,52,36,12,18,16,12
2/8/2015,12,6,10,8,9,5,40,3,5,14,17,8,15,10,16,19,4,,14,21,18,31,16,21,11,8,7,7,7,9,9,5,7,11,11,16,19,13,5,19,,15,11,9,20,7,14,23,18,26,14,13,21,2,5,7,2,11,28,9,3,5,5,5
2/9/2015,11,5,7,9,12,8,45,12,12,34,39,17,26,18,30,25,5,7,11,33,35,29,32,40,27,17,20,19,21,19,17,10,25,42,18,28,23,23,8,26,,20,18,17,25,11,16,,29,34,13,13,24,13,8,14,5,17,34,14,5,6,7,9
2/10/2015,13,5,8,12,14,9,33,12,10,32,50,28,37,22,31,35,7,8,14,51,46,51,30,30,33,31,22,27,29,29,,14,31,52,20,32,32,32,6,19,9,22,23,26,24,25,23,31,,40,17,20,,18,20,22,15,18,40,16,5,7,8,10
2/11/2015,29,9,21,22,25,10,41,14,14,31,35,26,19,26,41,49,8,14,16,68,58,48,54,63,25,22,19,32,23,20,,28,17,38,41,35,35,25,9,26,8,34,24,31,40,17,42,69,,40,48,15,54,16,16,17,13,25,46,19,7,12,9,9
2/12/2015,82,28,17,24,23,28,53,50,52,32,26,27,46,35,55,67,17,32,33,41,61,69,39,53,46,39,49,52,34,33,,33,31,67,24,28,38,23,20,40,17,43,47,43,60,29,46,65,,73,52,36,63,27,31,37,23,38,58,50,21,61,34,33
2/13/2015,96,,23,38,24,67,109,92,74,56,52,48,69,48,60,93,34,36,41,49,122,89,,50,68,58,60,75,58,51,51,27,61,99,35,49,84,37,49,60,54,53,63,58,34,81,62,126,44,74,60,48,63,47,53,50,41,47,57,91,45,68,58,60
2/14/2015,68,62,23,43,52,60,104,75,71,50,50,60,67,61,80,149,51,67,58,88,114,84,,47,80,64,71,64,66,60,22,35,56,77,25,36,73,48,64,90,65,43,77,71,52,98,121,175,118,108,146,57,137,66,68,140,54,50,64,82,60,78,71,75
2/15/2015,63,63,65,65,54,64,71,63,59,38,39,53,53,64,89,112,60,73,55,81,119,79,,57,66,42,54,79,60,54,25,78,28,44,38,29,58,65,19,60,31,56,76,83,94,124,170,165,165,145,103,52,132,34,38,42,25,83,99,78,48,73,75,41
2/16/2015,42,49,87,34,52,15,16,10,15,9,12,16,19,18,29,24,31,54,44,26,26,25,,20,44,8,15,14,14,11,47,32,8,12,18,17,13,15,10,16,6,18,20,15,55,18,30,37,26,28,37,16,21,7,16,9,7,25,27,24,19,45,33,26
2/17/2015,46,31,52,43,39,21,23,20,20,21,16,14,19,17,45,39,34,45,47,27,36,63,10,24,86,13,19,13,16,13,71,41,16,21,25,26,16,15,19,32,17,20,20,19,51,34,58,113,49,65,76,16,57,18,20,14,9,29,33,41,29,57,43,46
2/18/2015,51,36,38,59,40,51,63,58,51,53,53,41,45,62,31,61,47,48,52,77,108,88,61,74,66,51,54,46,55,56,24,60,50,66,55,59,52,48,26,45,22,56,65,49,80,,60,67,66,93,58,48,45,32,43,42,38,58,70,68,34,41,33,34
2/19/2015,74,36,38,75,37,29,45,36,35,49,53,37,44,59,68,60,37,44,46,85,79,125,78,73,84,44,42,45,45,44,48,80,38,49,49,46,52,46,19,33,17,63,50,43,98,64,66,49,63,83,81,61,58,21,30,28,26,61,67,54,27,40,26,20
2/20/2015,69,32,34,63,32,46,78,58,59,65,53,57,53,64,75,88,38,41,44,83,108,121,54,51,75,65,66,65,63,66,48,56,73,100,49,50,56,46,38,56,33,71,69,61,38,71,39,66,41,74,59,41,50,45,52,58,47,61,68,52,41,51,35,36
2/21/2015,42,23,43,49,32,41,54,43,41,45,46,41,40,49,61,80,23,30,32,39,82,56,36,32,24,61,55,61,58,54,33,40,59,73,42,45,45,39,44,45,17,43,59,49,17,82,80,105,58,55,74,38,18,39,54,47,55,44,44,42,24,23,14,24
