Kod stacji,DsLegRzeczA,DsOsieczow,DsWalbWysA,DsWrocGrobla,DsWrocKorzA,KpBydgBerlinga,KpTorunDziewulsk,KpWloclSielska,KpZielBoryTuch,LbBialaPOrzechowa,LbChelmJagWIOS,LbLublin_Sliwins_5,LbZamoscHrubieszowsk,LdLodzWIOSACzernik,LdLodzWSSEMLegiono,LdPiotrkWIOSMSienkie,LuGorzowWIOS_MAN,LuWschowWIOS_AUT,LuZgoraWIOS_AUT,MpKrakowWIOSBuja6119,MpKrakowWIOSBulw6118,MpNSaczWIOSPija6204,MpTarnowWIOSBitw6304,MpTrzebiWIOSZWM0305,MpZakopaWIOSRown1701,MzPiastowPulask,MzPlockReja,MzRadomHallera,MzRadomTochter,MzWarszUrsynow,MzWarTarKondra,OpKlucz2pyl,OpOpole4pyl,PdBialyWarszawska,PdLomzaSikorskiego,PkKrosnoWIOSKletowki,PkNiskoWIOSSzklar,PkRzeszWIOSNoweMiasto,PkRzeszWIOSSzop,Pm.01w.02m,Pm.63.wDSAa,Pm.63.wDSMm,Pm.aw07m,Pm.aw08m,SkBuskoWios2,SkKielJagielWios,SlBielbBiel_stern,SlCzestCzes_zana6,SlGliwiGliw_mewy,SlGodowWodz_wodzi,SlKatowKato_kossu,SlZlotyJano_lesni,SlZoryzZory_sikor,WmElblagWIOS_Bazynsk,WmOlsztyWIOS_Puszkin,WmOstrodWIOS_Chrobre,WmPuszcz_IOS_Borecka,ZpKoszalin006,ZpMysMysliborz007,ZpSzcSzczecinek008,ZpSzczecin001
Wskaźnik,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
11/6/2010 0:00,5,6,7,13.8,11.8,7.1,12.654,12.71,3.4,13,7.9,9.1,,7.8,12.2,,9,8,8,7,,,10,13,6,11.8,7.5,10.4,11.5,11.9,10.3,7,10,9,22.14,19.1,9.5,14.3,24.9,,14,14,5,,7.2,8.3,5,15,5,12,14.38,,15,5.85746,6.35,4.54564,2.7,3.1,4.3,5.8,1.8
11/7/2010 0:00,5,6,11.2,13.8,13.4,13.2,21.408,19.97,7.2,8,10.4,11.4,,8.7,,,10.6,28,12,18,,,18,24,9,16.5,6.8,12.7,20.8,13.9,13.6,26,9,10,29.77,17.2,14.3,14.9,17.1,,20,20,,,14.2,15.7,24,28,27,57,29.84,,14,12.0138,10.53,12.7272,4.94,8.7,16.8,14,9
11/8/2010 0:00,15,10,12.6,33.7,18.4,10.6,20.975,29.05,8.5,20,18.1,18.4,,26.2,,20.5,12.6,11,21,34,,,26,37,13,34.2,14.5,28.4,39.7,33.9,34.3,32,7,23,66.63,23.1,23.2,21.8,23.5,,13,13,,,24.5,29.8,30,41,49,78,57.28,,47,8.92337,13.79,13.8201,7.87,7.2,19.5,9.1,11.7
11/9/2010 0:00,24,18,15.5,13.2,28.2,11.8,47.242,21.78,9.2,17,8.4,8.9,,16.9,,31.8,21.7,12,21,21,,,9,20,13,32.9,25.2,19.8,19.4,26.1,46.3,26,17,39,42.48,5.6,15.8,9.8,8.7,,19,19,13,,9.6,20.1,10,32,14,21,29.54,,15,17.6707,21.42,19.4543,13.43,10.7,28.4,12.4,13.7
11/10/2010 0:00,57,27,22.9,37.9,35.2,30.1,37.221,14.51,22.9,45,21.8,25,,26.8,58,47.3,34.2,25,45,34,,,11,31,21,42.9,,43.5,24.6,32.9,36.1,27,25,16,50.1,6.7,21.8,9.3,8.9,,38,38,30,,20.4,57.1,21,61,36,58,34.44,19,45,26.9478,20.87,21.7421,9.61,16.1,47.1,27.5,13.2
11/11/2010 0:00,19,13,9.9,18,18.3,21.2,30.621,27.21,24.1,29,13,28,11.4,22,42.7,,14.3,9,15,35,,,20,41,50,29.6,,31.1,33.3,30.8,30.7,14,15,22,22.88,18,,12,9.8,,14,14,24,,,45.4,22,37,23,37,22.87,18,35,23.1288,22.14,23.641,17.15,12.8,18.9,17.8,11
11/12/2010 0:00,5,7,10.6,10.9,12.4,9.4,15.304,14.52,11.1,15,9.4,10.2,10.2,10.6,24,,9.1,7,9,13,,,11,,5,16.7,,12.9,,13,,5,21,8,18.7,14.4,,11.8,12,,10,10,5,,,12.5,12,19,5,5,13.24,5,5,8.01165,11.07,9.09243,7.6,3.8,8,7.8,4
11/13/2010 0:00,5,8,,12.5,8.5,1.7,13.508,14.52,6.8,11,10.6,10.2,7.7,5.1,,,7.3,11,9,11,,,7,,5,9.8,,10.2,,62.2,,4,19,8,28.32,8.5,9.7,10.2,8.4,,8,8,5,,,8.3,5,5,5,12,7.17,5,16,8.37506,7.44,6.91096,5.76,4,7.4,7.8,3.4
11/14/2010 0:00,11,10,5.9,12.9,16.4,7.5,16.787,10.89,10,18,5.2,12.3,11.8,8.7,,,7.3,12,9,35,,,11,,45,17.8,,22.2,,15.5,,9,2,18,58.09,12.4,14.6,10.7,10.7,,10,10,14,,,21.9,17,24,19,58,21.46,17,25,14.0201,8.53,9.45754,8.75,6,14.4,7.3,2.5
11/15/2010 0:00,15,11,12.3,19.2,27,10.9,21.725,10.89,13.9,43,41,46.2,29.2,22,,,3.6,12,12,72,,,34,,54,64.7,,31.3,,31.2,38.5,32,3,57,15.2,21.5,42.6,22.4,23.8,,,,17,,,82.8,50,108,74,127,63.87,20,70,18.21,13.25,15.4597,12.68,6.7,15.1,20.7,14.8
11/16/2010 0:00,13,10,9.2,18.3,19.3,3.9,17.054,18.15,4.7,24,48.9,37.2,28.7,9.8,,,3.5,16,6,51,,,54,36,77,14.4,,32,,12.8,8,33,12,10,,63.2,48,51.5,53.3,,8,8,13,,,46.3,67,29,89,92,69.37,39,70,5.82517,6.35,8.9117,3.39,5.8,17.2,16,7.4
11/17/2010 0:00,22,14,15,20.9,24.8,3.7,18.754,29.04,3.7,19,17.5,21.1,30.3,11.1,,,3.5,19,,26,,,54,25,68,23.4,,23.5,,19.5,18.7,26,19,11,,48.6,37.3,66.2,70.2,,7,7,15,,,30,42,23,36,45,39.6,23,28,2.54861,5.63,7.09159,4.48,1.1,16.2,5.5,4.3
11/18/2010 0:00,20,16,16.4,22.1,27.9,13.7,32.183,25.41,9.2,43,27.4,31.5,33.9,20.8,,,12.4,15,,45,,,46,39,36,42.7,,39.9,35.5,43.6,40.1,29,34,,,31.8,39.5,49.1,48,,21,21,28,,,39.2,59,34,41,81,53.16,27,54,12.5603,24.68,19.2733,21.88,6.3,22.6,15.1,9.9
11/19/2010 0:00,20,19,20.9,23,27.7,12.8,28.458,,9.7,46,29.9,42.5,24.1,25.7,,43.1,14.2,14,,64,,,22,35,48,45.4,,31.2,34.8,35.7,40.8,23,23,,81.15,28.3,40.8,32.5,30.2,5,16,16,16,,,48.1,50,32,30,57,68.01,33,56,15.6594,17.24,18.0106,20.11,6.1,23.4,7.8,9
11/20/2010 0:00,29,14,12.4,26.7,35.3,28.3,41.317,52.61,23.2,30,19.3,41,31.8,27.5,,23.6,37.1,17,,69,,,38,39,62,30.3,,28.2,33.6,31.6,26.7,28,23,,32.85,35.6,35,36.9,32.9,21,30,30,34,,,27.8,65,26,28,44,42.89,27,43,23.0484,11.25,17.6374,13.54,19.7,53.7,32.2,23.6
11/21/2010 0:00,48,37,58.9,43.7,47.1,26.8,37.854,25.45,21.6,21,33.8,29.1,20.7,40.4,,32.9,22.9,30,,55,,,29,32,43,37.2,,33.3,42.9,38.3,32.3,58,15,,44.47,26.3,33.2,33.1,34.5,22,30,30,27,,,35.2,46,40,71,103,69.76,34,63,23.8442,13.98,16.5436,8.82,22,51.7,39.1,33.7
11/22/2010 0:00,38,32,51.7,31.6,39.3,19.4,27.183,29.08,18.1,15,9.5,14.5,11.8,18.6,,25.8,23.3,23,,22,,,19,17,27,21.3,,14,45.8,,15.4,19,20,,17.43,19.5,19.9,20.3,21.8,5,9,9,23,,,23,45,30,37,65,35.48,21,31,13.1064,15.42,13.093,14.45,11.9,38.2,19.7,19.1
11/23/2010 0:00,5,4,8.3,10.7,10.2,6.6,13.1,10.9,6.2,17,19,11.1,13.1,6.4,,11.8,16.2,6,,17,,,17,15,8,21.3,,11.3,51.2,11.4,8.3,9,37,,13.4,15.4,14.8,11.5,,5,7,7,5,,,11.4,5,22,19,14,22.12,14,10,7.28107,5.26,3.09136,7.06,4.5,7.5,5.8,4.3
11/24/2010 0:00,5,2,2,11.1,9.35,4.2,11.154,12.73,3.8,16,12.7,8.7,10.6,9.1,,10.4,7.1,4,22,8,,,15,15,8,13.3,7.8,10.4,28.8,11.9,8.9,,23,,16.1,13.1,12.8,14.9,14.4,5,4,4,5,,,9.8,15,13,5,14,21.53,5,20,6.19003,2.18,5.63637,8.01,13.7,4.8,3.3,2.5
11/25/2010 0:00,39,12,10.6,31.6,37,7.9,14.154,29.04,5.5,18,18.9,8.6,15.5,18,48.7,25,19.3,18,43,45,,,52,36,44,20,15.4,14.2,25.3,15.5,13.8,20,5,,15.43,50.7,21.4,45.2,47,5,18,18,5,,,21.5,33,59,25,55,1.78,19,54,4.73278,3.45,5.81741,8.2,2.2,19.9,6.6,4.3
11/26/2010 0:00,33,31,29.7,22,72.2,44.1,54.533,47.18,19.7,58,35.3,61.2,45.2,58.8,79,134,17.5,38,36,88,,,57,40,96,68.5,69.5,57.1,71.2,60,72.4,59,1,,70.08,66.8,90.1,55.5,61.3,19,33,33,45,,,72.9,64,123,129,182,87.35,28,97,25.3022,22.14,25.453,9.68,18.4,54.4,32,58.8
11/27/2010 0:00,63,23,43.2,33.2,35.5,69.6,82.817,30.91,59.6,16,32.9,36,27.4,57,66,98,13.9,28,34,30,,,50,48,70,43.4,64.6,46.4,64.3,50.2,59.5,58,23,,36.68,,32.5,35,38.4,45,37,37,51,,26.7,46.6,96,62,81,116,76.97,41,90,32.032,19.96,38.0027,12.54,17.5,30.7,28.9,17
11/28/2010 0:00,78,63,86.3,63.7,66.5,32.2,46.879,47.27,38.9,13,25.1,38.3,39.3,38.8,54,70,37.9,50,47,57,,,49,43,128,54.3,44.4,41.6,43.2,47,43.5,60,29,,29.4,,38.6,43.2,46.7,12,2,2,24,,42.1,53.3,91,58,85,126,78.83,35,79,15.1088,31.94,18.7268,12.6,21.5,54.6,35.7,22.9
11/29/2010 0:00,42,28,28.3,34.8,61,31.6,23.104,27.27,15.3,17,15.3,13.2,11.9,16.9,32.2,40,17.4,37,17,20,,,25,25,19,16.3,23.9,20.2,40.8,21.8,18.1,32,29,,19.4,24.6,17,17.6,16.9,5,18,18,16,,17.7,26.6,29,28,29,39,37.18,5,36,10.5681,10.35,15.2702,10.49,7,27.1,18.7,14.3
11/30/2010 0:00,49,,23.4,20.3,23.4,18.5,41.038,38.11,6.2,35,17.1,31.8,54.3,12.8,52,103,18.8,41,29,37,,,42,35,69,25.6,22.2,58.7,59.9,19.2,24,29,49,,50.09,,34.2,64.6,67.7,5,7,7,13,,45.6,74.6,67,29,33,50,55.57,20,49,8.73617,4.18,11.2714,6.82,6.3,19.9,16.7,
12/1/2010 0:00,42,30,43,32.8,62.1,21.5,28.896,,14.9,22,,24.6,44.1,22.8,39.1,58,21.8,41,25,56,,,,31,106,76.3,30.1,,39.2,20.9,34.5,43,18,,57.9,,29.6,60.4,55.4,5,11,11,25,,30,41.4,57,34,35,64,46.3,,47,14.9229,22.7,28.3605,14.96,6.1,31.4,16.9,13
12/2/2010 0:00,102,40,38,62.1,79.1,39.2,24.296,,14.7,12,,25,22.6,25.9,82,56,17.1,24,50,125,,,,54,91,15.4,8.2,,,30.3,30.7,62,15,,36.7,,37.7,,46.5,10,30,30,15,,51.2,69.6,36,104,41,44,40.85,,56,20.0269,13.8,18.7279,13.9,9.8,34.8,24.6,12.5
12/3/2010 0:00,218,46,156,150,180,83.1,84.792,12.72,49.7,40,,44.2,37.4,95,158,178,39.2,84,56,135,,,,69,140,66.4,27.5,,,80.1,89.3,139,21,,137.08,,,,69.7,31,26,26,51,,80.6,157.9,112,162,169,163,138.28,,149,6.00732,55.01,54.2136,40.32,19.9,50.6,31.7,20.9
12/4/2010 0:00,182,87,57,156,198,37.5,56.467,10.9,27.7,80,,73.6,44.2,68,127,143,40.8,58,46,173,,,,156,109,79.4,79.1,,,85.1,87.7,191,44,,80.43,79.7,74,,112.5,12,37,37,23,,133.9,222.7,217,224,219,174,161.14,,227,28.2198,40.85,39.4683,30.35,26,54.2,27.1,22.6
12/5/2010 0:00,91,32,24,66.8,81,79.2,97.125,18.17,68.8,87,,58.3,42.1,80,70,143,24.3,37,31,283,,,,88,89,65.9,94.4,,,81.7,88.5,81,135,,87.33,44.2,72,,101.1,,28,28,71,,84.1,66.5,31,134,152,158,,,202,60.8036,58.45,55.6458,39.88,22,34.5,38.2,14.8
12/6/2010 0:00,72,24,80,52.8,74.9,29.9,49.962,23.63,24.1,46,,40.4,37.4,41.7,87,56,37,86,62,154,,,,59,125,67.2,56.6,,,45.5,44.8,65,178,,90.96,,59,,19.5,,21,21,24,,46.8,72.8,93,60,104,143,171.64,,79,29.31,28.67,32.8977,28.94,16.1,54.8,17.8,15.7
12/7/2010 0:00,98,77,95,81.1,90,44.1,78.337,39.93,20.8,34,25,44.2,35.2,56,85,84,31.3,101,71,91,79.167,,,81,131,63.9,58.2,,,60,58.6,93,87,,58.62,,74,64.7,77.8,,25,25,47,,53.6,73.6,210,65,144,147,145.78,,156,47.1492,21.78,21.2676,7.5,16.4,59.8,28.4,23.6
12/8/2010 0:00,81,58,85,60.8,90.2,28.3,49.696,45.37,25.2,23,17,31.6,33.1,37.8,79,67,31.4,74,39,99,113.25,,,96,127,55,45.9,,,47.8,52.3,83,40,,45.93,20.8,77.3,108.7,72.6,28,34,34,34,,50,56.8,148,89,182,162,185.29,,193,22.9349,27.22,25.6353,11.82,20.1,48.8,30.8,27.2
12/9/2010 0:00,22,12,12,88.5,24.6,21.5,26.296,52.71,15.2,13,7.2,17,16.2,23.5,24,32,15.7,19,10,53,46.042,,,47,23,26.9,23.9,,,25.4,24.7,22,85,,20.69,20.7,20.9,18,15.4,5,26,26,5,,30.5,30.4,11,22,24,35,42.15,,22,18.9311,13.43,13.8154,5.73,8.9,16.3,19.8,11
12/10/2010 0:00,16,8,9.4,52.1,13.7,6.9,16.979,52.71,4.4,12,8,16.3,12.9,10.9,29.7,15,8.6,20,10,23,13.458,,,23,15,16,12,,,11.8,23.2,10,84,,16.15,24.2,15.7,13.6,16.3,5,17,17,5,,11.3,15.38,17,12,18,24,23.7,,12,10.7419,3.63,6.36394,5.18,4.9,14.1,9.8,8.7
12/11/2010 0:00,5,11,15,113,11.6,12.4,24.671,54.51,14.2,15,16,16.5,14,11.8,27,12.5,3.5,6,4,23,24.833,,,30,44,25.6,21.3,,,19.3,24.1,13,18,,35.22,10.6,,14.7,11.1,11,9,9,52,,21.5,25.84,10,20,25,21,5.55,,15,21.4831,21.96,18.1819,16.51,7.4,9.7,9.6,4.9
12/12/2010 0:00,5,8,9.4,202,8.09,9,15.392,25.43,7.7,18,17.3,19.2,14.4,6.4,30,12,1.8,13,7,16,13.208,,,21,13,39.1,18.4,,,18.5,27.9,9,9,,38.84,12.4,,16.5,16.7,5,2,2,55,,18.4,16.09,13,12,12,15,22.61,,20,17.291,14.52,16.5414,19.85,3.1,7.3,8,4
12/13/2010 0:00,18,10,10,12.5,16.1,14.7,28.275,34.48,7.9,25,30,35.8,34.7,14.9,45.7,24,5.2,15,14,26,18.375,,,25,19,43.1,34.5,,,30.3,31.9,12,12,,31.22,35.4,,26.4,,5,,,25,,17.3,28.19,22,13,16,22,8.33,,22,22.5717,21.6,22.5482,17.27,4.3,8.5,15.5,9.7
12/14/2010 0:00,18,20,14,43.7,29.8,17.5,44.483,39.98,9.7,34,61.7,43.1,30.9,45.7,68,52,3.4,32,14,47,46.333,,,50,38,49.2,50.6,,,38.6,44.5,29,3,,70.43,49.3,,49.5,57.4,34,,,17,,40.9,51.32,39,44,26,29,42.45,,43,49.5284,41.94,44.3711,30.66,4,16.4,8.6,6.1
12/15/2010 0:00,53,20,119,118,61.9,49.8,98.058,29.04,21.3,56,68.8,69.4,47.5,53,103,79,17.1,,42,63,69.833,,,71,115,70.3,77.7,78.5,90.3,53,64.1,65,6,,82.59,156.2,96,218.2,,124,,,21,,77.4,99.39,76,73,49,65,75.77,,71,78.8247,55.18,79.455,35,21.5,37.8,44.2,20.4
12/16/2010 0:00,163,34,87,57.9,92.5,57.6,81.983,43.57,41.5,53,75.4,109,32.4,86,78,112,20.6,54,32,241,165.333,,,131,112,70.3,77.4,91,102.9,64.4,70.6,81,13,,77.14,171.6,137.2,111.8,,30,,,30,,109,133.19,153,92,84,57,44.85,,99,52.991,46.48,50.727,34.34,15.9,39.2,33.1,16.4
12/17/2010 0:00,72,32,23,43.5,67.8,48.5,72.629,12.71,64.7,30,35,51.8,43.3,53,96,113,40.1,38,44,299,209.417,,68,76,169,72.5,75,58,111.6,54.1,61.9,47,36,,63.71,,,56.2,52.4,73,,,18,,64.3,87.48,96,126,144,134,164.97,60,89,59.914,49.55,49.6709,40.3,40.8,66,57.5,27.4
12/18/2010 0:00,127,81,81,48.4,83.5,56.6,76.058,,47.4,30,74.7,88.3,46.6,136,183,204,64.2,37,63,281,201.917,,122,164,116,69.9,92.4,98.7,71.9,83.7,83.8,77,67,,75.51,92.2,100,68.9,74.1,38,,,56,,186.4,175.84,106,180,187,108,211.85,88,225,43.0453,40.29,40.3721,27.8,56.2,,69.3,62.6
12/19/2010 0:00,65,50,34,90.7,76.4,80.4,101.687,,63,63,58.3,67.9,31.5,66,66,88,67.4,79,38,64,72.667,,60,74,70,66.3,110.8,74.4,31,76.9,84.4,61,21,,122.47,42.4,78.9,60.5,60.5,46,,,27,,55.7,67.22,23,86,68,97,61.72,51,76,68.462,80.24,80.3683,52.74,45.9,,73.1,53.2
12/20/2010 0:00,37,20,48,27.6,38.9,66.5,59.258,,76.5,27,15,21.8,23.9,26.8,46.6,39.8,29.6,26,37,49,35.083,,29,40,41,37.6,40.5,30,42.1,28.2,33.6,31,61,,60.22,22.3,27.5,24,18.4,62,,,73,,18.8,28.52,57,40,36,48,48.41,27,44,60.9911,60.63,60.7195,52.44,45,48.5,66.6,37.7
12/21/2010 0:00,85,72,57,82.7,102,47.1,63.312,,28.7,30,39.2,48.1,47.1,51,97,101,39.5,45,83,135,70.5,,47,63,98,32.2,,56.9,89.3,41.6,49.9,81,43,,57.54,36.3,79.9,44.1,40.5,36,,,23,,46.9,72.84,99,116,120,145,99.28,41,78,48.0437,40.85,40.9141,30.27,23.5,88.2,38.6,37.5
12/22/2010 0:00,107,96,110,111,122,63.9,91.425,,44.3,29,45,71,44.2,89,87,132,32.7,86,98,165,144.083,,53,62,62,51.2,72.9,92,84.9,69,60.4,115,17,,60.28,32.6,137.7,62.4,75.8,76,,,51,,68.3,89.65,58,123,215,237,229.61,68,172,74.9486,54.47,56.187,23.7,27.6,82.3,43.5,43.3
12/23/2010 0:00,91,73,20,82.7,111,40.2,50.425,,30.4,27,75.4,67,45.4,47.7,66,95,61.4,95,68,143,137.042,,32,40,7,46,46.4,43.1,45,35.6,51.5,93,54,,42.48,18.3,,33.8,43,19,,,42,,38.4,63.98,17,164,174,,190.47,56,43,30.9276,21.96,33.632,26.46,14.1,64.8,32.6,36.6
12/24/2010 0:00,48,33,,52.8,43.3,33.3,54.717,,25.6,25,30,43.2,40.5,12.8,85,120,10.6,68,29,90,117.542,,27,45,37,45.8,73.3,45.6,33.5,36.6,24.1,79,94,,78.79,15.8,55.9,49.5,62.1,14,,,36,,25.3,54.95,66,146,103,110,166.09,47,88,43.4806,53.79,54.9152,42.22,8.1,24.3,28.6,10.8
12/25/2010 0:00,13,10,,14.2,15.1,8.6,12.579,,6.2,30,41.3,24.7,15.1,37,19.5,35,3.5,37,16,31,38.958,,50,37,38,34.7,16.2,29.5,19.8,25,26.1,14,49,,76.07,43.1,41.4,42.5,37.8,5,,,11,,26.4,25.85,32,22,14,20,1.6,21,34,10.1881,8.8,12.1778,11.78,4.5,11.5,5.3,9
12/26/2010 0:00,35,17,,35.4,42.2,10.2,17.85,,6.2,17,19.2,10.7,11.9,12.9,42.5,25.8,5.1,18,18,26,22.333,,19,32,25,16.5,15.1,15.8,75.6,14.7,12,27,59,,24.51,47.2,15.4,15.8,16.5,5,,,15,,11.2,22.77,44,38,19,61,20.45,21,52,11.4608,10.44,11.64,8.74,5.6,17.5,5.8,8.3
12/27/2010 0:00,49,24,,71.5,74.8,50.3,61.342,,31.8,51,47.5,52.3,23.7,35.5,90,132,17.1,34,35,117,88.833,,63,77,97,17.3,65.8,74.9,91.9,41.7,51.9,69,9,,117.49,90,,58.4,57.3,46,,,55,,54.4,101.75,135,165,101,115,118.78,70,111,37.4743,42.48,39.0955,15.52,33.1,57.8,60.8,28.7
12/28/2010 0:00,87,54,,103,110,90.8,123.208,18.18,61.6,29,41.3,45.2,33.2,89,118,121,39,56,60,162,140.583,,151,91,103,75.5,105.9,88.7,67.6,74.8,107.8,123,21,,68.25,105.1,,198.4,113.6,90,,,87,,102.9,88.54,115,122,119,74,122.21,86,157,32.1982,57.81,83.8104,19.3,110.4,63,124.1,37.2
12/29/2010 0:00,111,95,,109,115,90.2,107.583,12.72,58,26,38.8,59.8,26.6,94,89,95,37,184,99,96,81.333,,125,111,72,71.3,97.8,88,,79.9,65.3,98,86,,54.09,,,91.8,96.5,18,,,33,,71,57.83,95,64,105,93,124.7,63,116,44.9352,30.41,51.627,16.19,41.6,37.6,68,24.4
12/30/2010 0:00,117,126,,78.2,74,22.7,32.917,21.81,8.4,21,34.2,30.7,43,72,52,46.9,35.4,69,45,89,68.833,,70,83,44,32,28.8,54,,28.8,27.6,65,60,,29.42,,,42.6,,5,,,14,,52.1,39.22,146,67,77,50,95.79,45,71,13.2807,6.71,14.9099,6.31,7.2,45.6,24.4,24.5
12/31/2010 0:00,26,21,,48.6,36.9,21.9,38.433,18.18,20.8,23,40.8,57.9,35.8,33.3,50,48.7,5.2,24,22,72,56.083,,62,55,87,16.7,21.7,47.6,,38.8,31.2,56,91,,66.97,,,42.1,,10,,,28,,63.8,54.57,50,48,69,51,,51,70,38.3867,31.4,24.3616,21.76,13.4,18.3,22.4,16
