Kod stacji,DsLegRzeczA,DsOsieczow,DsWalbWysA,DsWrocGrobla,DsWrocWisA,KpBydgBerlinga,KpTorunDziewulsk,KpWloclSielska,KpZielBoryTuch,LbBialaPOrzechowa,LbChelmJagWIOS,LbLublin_Sliwins_5,LbZamoscHrubieszowsk,LdLodzWIOSACzernik,LdPiotrkWIOSMSienkie,LuGorzowWIOS_MAN,LuWschowWIOS_AUT,LuZgoraWIOS_AUT,MpBochniWIOSKBar0106,MpKrakowWIOSAKra6117,MpKrakowWIOSBuja6119,MpKrakowWIOSBulw6118,MpNSaczWIOSNadb6205,MpTarnowWIOSBitw6304,MpTrzebiWIOSZWM0305,MpZakopaWIOSRown1701,MzPiastowPulask,MzPlockReja,MzRadomHallera,MzWarszUrsynow,MzWarTarKondra,OpKlucz2pyl,OpOpole4pyl,PdBialyWarszawska,PdLomzaSikorskiego,PkKrosnoWIOSKletowki,PkNiskoWIOSSzklar,PkRzeszWIOSNoweMiasto,PkRzeszWIOSSzop,Pm.01w.02m,Pm.63.wDSAa,Pm.63.wDSMm,Pm.AM12.a,SkBuskoWios2,SkKielJagielWios,SkStaracZlota2,SlBielbBiel_stern,SlCzestCzes_zana6,SlGliwiGliw_mewy,SlGodowWodz_wodzi,SlKatowKato_aleja,SlKatowKato_kossu,SlZlotyJano_lesni,SlZoryzZory_sikor,WmElblagWIOS_Bazynsk,WmOlsztyWIOS_Puszkin,WmOstrodWIOS_Chrobre,WmPuszcz_IOS_Borecka,WpWKP001,ZpKoszalin006,ZpMysMysliborz007,ZpSzcSzczecinek008,ZpSzczecin001
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
5/17/2012 0:00,5,8,8.1,9,8,6,7.9,18.2,25.3,14,12,6,7,4.2,14,5.99,10.1,,,11.833,11,8.583,8,7,12,9,8.2,11.7,,9.883,,9,10,4.9,5.809,10,10.6,9.9,10.5,7,7.8,7.8,11,10.1,,8.9,5,10,15,15,5,16,5,,7.465,5.192,4.035,3.924,9.87,3.5,5.3,4.2,4.5
5/18/2012 0:00,13,12,10,15,21.87,10.6,13.6,,12.6,10,7,11,7,7,14.5,9.07,13.2,11.6,,19.417,10,21.375,12,10,12,13,10.5,,10.5,13.8,17.2,11,12,10.4,12.554,12,11.1,14.2,14.2,10,7.3,7.3,7,11.7,,11.4,10,15,5,30,23,21,5,,6.553,6.478,7.502,3.869,14.22,6.6,10.3,6.3,7.8
5/19/2012 0:00,13,12,7,14,19,15.1,14.8,18.2,16.5,9,8,8,10,11.8,18.9,11.98,13,11.7,,21.292,13,30.458,14,12,11,12,12.7,,12.4,15.442,15.8,18,17,12.3,9.802,21.6,11.8,14.9,16.3,14,21.5,21.5,18,12.1,,13.1,5,13,20,24,17,18,5,,7.825,10.636,9.92,7.137,14.85,9.4,12.5,11.5,11.5
5/20/2012 0:00,11,11,7.2,14,17.591,15.8,16.6,21.8,18.4,14,11,14,12,11.8,15.8,12.16,9.3,12.6,,18.292,14,20.417,13,11,15,8,14,,12.2,20.625,19.1,15,14,15.5,14.338,,12.2,13.3,14.6,15,,,16,11.8,,14.7,5,12,18,20,17,15,5,,8.371,12.195,11.829,10.49,16.03,10.8,,12.8,14.8
5/21/2012 0:00,13,14,16,11,17.364,18,19,23.6,18.4,18,,13,15,12.2,18.7,13.43,13.6,13.2,,15,13,16.958,14,11,13,10,,,12.4,18.492,13.4,19,14,17.2,14.156,,,12.7,12.3,23,,,20,12.1,,13.6,5,11,17,19,21,18,11,,16.204,14.937,15.967,13.066,17.57,14,,16.1,13.9
5/22/2012 0:00,15,14,16,17,25.2,22,23.6,21.8,20,17,,15,15,14,21,16.33,14.3,17.2,,19,15,18.167,18,14,15,14,16.2,17.8,14.6,18.142,13.8,18,16,17.8,14.699,,,12.7,13.7,22,18.6,18.6,20,13.7,,14.9,5,13,21,28,22,15,5,,17.463,15.754,21.138,12.453,22.1,13.3,,15.2,16.4
5/23/2012 0:00,11,15,14,14,19.6,22.6,26.9,14.5,20.6,16,6,16,19,12.4,24.2,12.16,9.8,16.4,,17.5,17,10.542,15,15,13,16,17.6,14.9,14,17.725,15.4,18,14,17.1,16.152,,,13.4,12.7,15,18,18,16,13.6,,14.5,12,11,16,17,21,13,5,,15.835,16.814,14.552,10.808,18.56,22.4,,13,14.8
5/24/2012 0:00,5,11,11,12,14.478,19.1,14.2,18.2,16.6,14,12,13,13,8.7,20,7.8,7.1,9.3,,16.652,14,9.208,15,14,12,13,11.8,13.1,12.2,11.846,10.7,14,11,13.8,11.434,,10.3,15.7,12.5,10,8.4,8.4,11,11.7,,10.7,5,5,16,17,18,5,5,,7.28,12.436,11.469,8.601,9.06,4.4,,6.3,7.4
5/25/2012 0:00,5,9,5.7,11,15.043,21.2,10.9,18.2,11.3,11,15,13,12,8.7,21.8,7.26,10.4,10.6,,14.417,14,7.542,12,9,12,8,12.7,,13.6,13.213,9.4,14,10,10.4,8.892,,7.8,12.1,11.1,9,7.7,7.7,13,10.1,,10.5,5,13,14,18,14,11,5,10,8.368,7.661,8.05,10.495,9.87,4.9,7.7,5.7,8.1
5/26/2012 0:00,11,11,9.4,11,14.19,16.2,14.4,14.5,10,16,11,13,15,10.7,16.7,6.72,9.4,8.6,,16.5,20,17.167,15,15,11,14,17.1,,14.2,14.654,9.1,14,10,9.8,10.71,,9.8,14.7,14.4,11,9.1,9.1,12,10.3,,16.5,5,14,15,19,20,11,5,17,8.916,10.947,9.629,9.371,9.6,5.7,8.3,6.3,7.6
5/27/2012 0:00,13,13,6.9,12,14.609,14,10.9,21.8,10.2,12,10,13,13,11.3,14.9,6.17,11.6,10.8,,16.458,13,14.583,13,12,9,15,11.6,,13.5,14.817,17.1,15,14,9.4,8.53,,9.7,12.4,12.1,7,6.6,6.6,10,13.2,,13.8,5,19,18,20,21,12,5,18,6.185,8.949,6.122,6.421,10.33,4.5,7.6,6.8,7.2
5/28/2012 0:00,11,12,9.5,15,17.739,15.6,10.5,12.7,7.1,11,7,12,12,13.5,16,6.9,11.2,7.9,,21.333,15,16.625,12,12,11,10,13.8,,10.5,14.738,15.2,15,13,11.8,13.066,,9,11.7,11.4,11,,,11,10.6,,12.9,5,16,15,19,23,14,12,16,9.281,8.896,5.723,4.912,11.23,6.2,7.3,5.4,9
5/29/2012 0:00,11,11,,14,15.522,24.2,22.5,23.6,12.3,13,13,15,17,14,12.5,8.89,6.6,8.8,,27,18,26.708,16,15,18,13,15.4,,12.6,15.125,12.3,15,10,11.2,14.884,22.7,15.1,17.1,18.4,24,6.4,6.4,11,18.3,,18.5,,13,16,17,21,17,16,12,9.099,10.98,10.375,7.445,14.31,4.9,9.8,6,7.8
5/30/2012 0:00,5,8,9,11,11.87,9.6,9.1,16.4,10.1,9,7,10,17,10.7,11.5,5.81,7.4,11.7,,13.708,15,7.917,14,14,14,14,7.5,,11.1,10.171,7.3,13,9,5,6.535,23.5,13,12.8,14,26,,,9,10.5,,10.7,,11,12,14,13,11,10,5,5.825,5.828,5.087,4.214,17.61,4.7,5.9,3.7,4.9
5/31/2012 0:00,15,12,6.2,11,17.45,11.6,8.6,14.5,7.3,14,7,11,13,12.4,14.7,6.53,6.7,9.3,,16.25,6,10.75,13,14,13,9,13.8,,12.2,15.7,11.3,14,12,10.5,12.706,28.9,11.8,13,14.5,12,3.6,3.6,14,15,,12.9,11,15,10,14,21,5,13,14,6.005,10.004,7.248,5.613,,3,6.6,5.8,6
6/1/2012 0:00,5,6,4.5,6,11.95,8.6,4.7,12.7,7.7,12,6,11,13,9.1,12.5,12.34,7.1,8.9,,17.708,10,15.125,9,10,9,9,12.3,,12.4,22.662,13.3,22,12,11,12.343,15,11.5,11.2,11.5,12,,,11,10.2,,11.4,5,5,10,,13,5,11,5,4.005,8.024,6.868,6.52,7.93,6.7,6.6,5.9,6.1
6/2/2012 0:00,5,6,2,7,8.826,7.6,4.2,,6.9,10,5,9,14,7.5,8.5,4.9,8.6,6.4,,14.917,10,14.667,10,9,11,8,8,,8.5,9.575,7.3,18,10,6.3,8.92,15,9.9,11.9,11.5,7,5.6,5.6,8,9.4,,9.1,5,14,10,15,12,5,10,11,2.366,4.538,4.36,3.567,7.03,3,4.6,3,3.8
6/3/2012 0:00,5,10,7.9,8,13.409,7.6,6.5,,5.7,10,5,10,12,6.4,12.2,7.62,9.4,8.8,,16.208,12,15.917,12,11,8,10,12.2,,12.4,14.583,12.5,19,15,9.7,10.71,15,10,14,14.3,10,1,1,10,13.6,,22.7,5,13,22,21,19,16,14,17,4.55,6.008,6.578,5.538,12.98,3.7,6.2,3.9,4.3
6/4/2012 0:00,,10,9.1,7,19.739,13.8,7.5,16.2,6.7,9,14,11,15,15.8,16.5,7.99,9.8,9.9,,15.917,11,14.708,11,9,12,9,20.9,,17.8,28.733,17.4,19,11,14.4,19.788,19.2,13.5,14.7,15.3,11,6.2,6.2,13,12.6,,16.5,5,5,15,19,17,5,11,15,6.007,10.148,10.394,9.132,14.47,4.5,7.2,5.4,5.1
6/5/2012 0:00,11,4,6.9,8,18.5,16.7,11.9,21.3,10.2,14,12,17,10,18.9,22.7,7.26,8,11.2,,15.333,6,7,6,6,8,7,37.6,,21.5,37.81,18.1,15,17,17.1,17.608,17,15.5,12.8,14.6,13,,,15,10.8,,17.8,5,17,5,11,19,5,12,5,13.104,11.491,11.303,8.812,18.2,3.9,7.9,5.9,6.1
6/6/2012 0:00,11,7,8.4,7,16.783,15.8,11.2,18.6,6,13,8,12,15,9.5,14.7,9.44,8,10.3,,27.609,14,17.25,10,15,14,11,11.1,,9.8,12.148,10.5,11,17,12.1,7.806,25.6,15.8,17,17.7,9,6.6,6.6,14,12.5,,12.9,10,14,10,16,22,17,10,16,10.736,5.173,5.742,5.782,,6.1,10.3,8.1,8.5
6/7/2012 0:00,5,8,7.8,9,15,19.8,13.9,15.8,11.1,17,9,15,15,12,14.7,8.35,8,9,9,19.25,13,13.75,11,10,12,9,15.4,14.9,14.4,20.733,15.6,11,13,14.4,10.527,15,15.3,12.9,13.6,12,11.1,11.1,17,12.2,,9.3,5,14,16,13,22,16,10,5,9.1,8.659,10.065,7.388,11.08,9.3,9.7,10,9.2
6/8/2012 0:00,5,8,5,44,15.714,17.8,9.4,14.3,14,13,15,16,18,12.2,14.7,9.07,9.2,10.4,12,15.208,15,20.417,15,12,12,13,19.4,16.2,15.8,28.954,16.3,12,12,15.6,17.43,14,14.2,13.8,14,19,15.3,15.3,21,12.1,,16,5,13,13,13,23,13,5,15,17.102,16.951,16.225,13.383,11.71,8.2,8.7,9.6,8.5
6/9/2012 0:00,5,8,4.9,11,12.478,13.8,8.3,22.1,11.6,13,,14,14,11.5,9.5,6.9,7.6,9.2,14,21.833,18,15.542,14,12,15,17,15.3,11.1,12.2,19.021,12.3,18,,16.8,18.706,20.9,14.2,12.9,15.1,11,9.5,9.5,14,11.8,,14.2,5,13,12,13,15,13,5,14,11.831,11.742,12.646,9.216,11.89,6.4,9.8,7.1,6.9
6/10/2012 0:00,5,9,4.5,7,13.318,8.7,8.7,21.4,10.1,12,,12,11,10.5,17,6.17,10.7,11.7,12,19.958,15,12.917,9,8,12,11,15.8,10.4,13.4,20.792,14.2,19,,13.3,11.255,16,12.4,11.3,11.7,12,,,,13.8,,14.7,5,17,15,12,11,14,13,13,12.555,10.491,10.559,9.409,,6.4,12.7,7.3,7.6
6/11/2012 0:00,5,10,2,7,14.857,12.2,8.7,13.6,10.5,10,8,11,11,9.8,12.9,9.62,8.4,12.2,8,27.364,19,15.417,9,11,12,7,10.7,11.1,11.6,17.5,9.3,18,,9.2,6.897,15,10.8,12.2,13.8,10,,,,13.3,,12.9,5,14,15,16,12,17,10,5,8.557,6.498,6.885,8.429,,8.6,9.6,8.8,10.8
6/12/2012 0:00,5,10,7.8,13,20.045,17.1,12.6,12.8,10.9,9,10,12,12,13.6,12.3,9.98,10.1,11.2,10,25.208,12,15.458,8,7,12,9,15.8,15.2,12.5,21.533,12.7,7,,10.7,7.986,9.1,11.1,7.9,8.9,13,12.6,12.6,18,11.5,,16.1,10,17,23,18,18,18,5,13,9.643,9.527,8.25,8.305,15.32,8.1,11,7.8,11.2
6/13/2012 0:00,13,12,6.5,13,19.292,13.3,9.7,14.3,9.9,6,5,8,9,8,6.7,10.16,9,15.8,12,16.75,9,10.792,8,6,8,6,8.4,10,6.9,12.171,6.7,4,,10.6,9.621,12,7.3,6.9,7.1,11,9.7,9.7,15,9,,9.3,5,5,13,12,13,12,5,5,8.369,9.329,8.888,10.025,12.34,8.6,9.9,9.1,9.9
6/14/2012 0:00,,8,2,9,13.391,8.6,7.5,,7.1,9,6,6,2.5,11.3,14.5,7.08,10.6,8.4,11,19.5,7,,8,5,11,6,9.4,10.9,7.3,11.963,8.2,,11,13.1,9.439,10,7.3,5.8,6.9,10,8.2,8.2,12,9.1,,10.3,5,5,10,14,13,5,5,5,8.19,7.242,7.648,8.252,8.83,4,6.2,5.6,7.4
6/15/2012 0:00,11,10,7.2,9,17.875,10.9,9.4,,5.6,9,7,11,11,8.9,11.3,10.34,9.8,8.7,12,22.667,12,,11,7,,9,10.9,9.3,10,15.963,9.4,,12,8.4,9.257,20.6,9.8,10.9,11.6,9,6.9,6.9,,12.6,,12.2,11,12,18,15,19,13,5,10,7.461,4.866,5.197,8.345,10.36,6.2,,11.2,7.8
6/16/2012 0:00,11,9,8.6,8,15.048,16.2,14.2,,10.4,14,12,14,15,14.9,17,9.98,9.4,9.3,14,22.333,15,17,14,9,,9,15.8,3.3,13.1,21.175,14.7,,13,,12.162,14,13.3,12.2,12.9,14,10.2,10.2,,12.4,,16.5,11,16,20,15,18,15,12,5,14.197,12.197,10.247,13.402,14.87,8.8,,10.7,9
6/17/2012 0:00,5,5,2,8,10.625,10,9.6,,9.9,14,9,15,18,9.3,14.5,7.08,13.2,4.8,13,15.25,15,,12,9,,7,12.9,10.2,14.2,15.596,12.7,,10,,14.522,,14,11.6,13.6,10,6,6,,13.6,,20.1,16,16,17,16,17,15,12,10,11.102,8.566,8.212,9.486,8.65,6.1,,6.8,5.1
6/18/2012 0:00,17,15,13,17,22.864,17.5,12.3,,8.7,12,11,14,19,5.3,16.4,,14.1,14.7,18,22.292,19,23.739,18,16,,14,15.1,4.7,15.8,19.875,14.2,,16,,,,19.6,16.6,18.8,17,,,,16.1,,20,18,23,23,24,32,26,14,16,12.738,,11.136,10.304,,11.1,,14.5,11.2
6/19/2012 0:00,,7,4,8,12.708,8,6.9,,13.1,20,,,23,,16.9,,7.4,7.4,21,20.375,23,19.875,22,19,,19,14,,16.5,19.504,14.2,,9,13.1,,22.3,,17.6,20.3,13,,,,18.1,,,25,,12,19,21,22,14,16,13.105,,7.83,8.445,,4.2,,6.3,7.8
6/20/2012 0:00,,14,13,14,20.333,9.3,9.4,,6.6,12,,,17,,14.2,,12.1,8.2,15,18.217,19,30.417,23,18,,20,9.1,7.8,12.5,10.354,8.3,,18,10.3,,27.5,18.6,18.9,19.8,14,10,10,,16.7,,,17,,21,21,33,27,16,19,8.917,,7.015,6.799,,6.2,,9,9.7
6/21/2012 0:00,,9,6,7,17.571,6.9,6.6,,6.2,11,8,,24,,14.5,,8.9,5.4,20,23.667,23,21.542,24,28,,20,,7.5,14.6,23.012,10,,14,9.9,,20.6,26.8,24.1,24.4,12,11.5,11.5,,23.5,,,18,,11,15,24,23,15,13,6.735,,6.722,9.647,,7.6,,9.3,11.2
6/22/2012 0:00,,10,6.6,21,18.952,8.6,7.5,,6.1,14,9,,14,,11.3,,10.6,6.2,17,25.583,16,17.792,15,20,,15,10.2,6.4,9.5,19.763,9.6,,15,10.6,,19.3,24.4,20.3,21.2,11,11.3,11.3,,15.4,,,14,,5,,21,20,15,15,7.462,,5.997,8.691,,8.8,,7.4,10.8
6/23/2012 0:00,,9,8.8,10,12.13,12.8,10.1,,7.3,19,12,,16,,19.5,,11.8,5.1,17,23.25,24,22.583,17,18,,14,11.6,10.9,13.1,18.188,12,,11,10.6,,18,15.2,13.5,14.5,15,11.5,11.5,,13.9,,,5,,13,13,22,21,10,22,6.005,,8.101,8.268,,8.8,,7.1,8.1
6/24/2012 0:00,,9,8,9,15.917,12.3,10.5,,9.1,14,10,,14,,19.5,,6.7,9.3,12,13.833,16,13.25,15,14,,10,17.1,11.7,13.8,22.692,18,,15,14.1,,16,14.1,12.7,13.5,19,,,,15,,,17,,18,17,24,19,11,13,10.008,,9.595,9.416,,9.8,,8.1,10.1
6/25/2012 0:00,,6,2,6,8.542,6,7.6,,7.8,13,8,,13,,9.3,,7.8,3.3,9,9.083,10,6.5,7,8,,8,7.3,2.9,7.3,11.333,9.1,,7,10.4,,8.9,11,9.4,9.4,14,,,,10.8,,,11,,5,8,5,5,5,5,6.734,,4.561,7.126,,4.9,,3.7,4.7
6/26/2012 0:00,,6,4.4,2,8.909,7.6,5.4,,,14,5,,11,,8,,7.1,5.7,10,10.625,8,6.625,10,9,,8,6.4,7.5,6.2,11.412,8,,6,7.8,,11,7.7,7.7,7.7,,,,,9.5,8.6,,5,,5,7,5,5,5,5,5.642,,3.635,6.607,,6.7,,6.6,7.6
6/27/2012 0:00,,9,7.2,7,13.522,11,7,,,9,7,,14,,9.6,,15.4,12.1,11,12.958,11,,12,13,,8,8.7,8.2,9.6,13.554,10.3,,11,10.6,,12,8.9,11,10.5,,,,,18.9,10.1,,10,,5,15,10,11,5,5,8.007,,6.488,7.928,,6.9,,6.4,10.6
6/28/2012 0:00,,10,5.6,7,19.364,11.5,9.6,,,13,11,,12,,12,,12.6,10.8,15,16.458,14,,15,16,,14,10.7,4,12.4,14.904,9.6,,10,11.3,,16,13.2,16.5,17.7,,,,,11.5,15.1,,5,,11,20,18,13,5,14,11.101,,9.194,7.045,,8.9,,8.5,13.4
6/29/2012 0:00,,12,8.6,10,18.773,14.5,13.9,,,15,12,,18,,18.7,,18.4,10.6,14,16.417,18,,16,,,14,11.1,20.1,12.4,12.75,10.9,,17,14.9,,16,18.7,16.6,17.8,21,,,,17.1,21.3,,5,,21,26,25,20,12,18,12.561,,8.849,7.196,,10.3,,16.9,15.7
6/30/2012 0:00,,17,13,15,22.636,18.9,15.7,,,14,14,,21,,10.2,,7.9,16.8,18,16.792,23,,22,14,,20,18.5,14.2,15.6,18.892,16.5,,23,17.5,,18.9,17.6,13.2,16.9,18,,,,19.2,23.7,,16,,27,31,31,28,15,20,15.467,,12.953,17.284,,9.4,,13.9,17.3
7/1/2012 0:00,,11,8.6,11,19.522,11.8,11.6,,,16,15,,20,,16.7,,10.7,9,20,29.958,25,,25,21,,27,20.3,11.7,15.8,26.829,21.8,,19,19.6,,,,16.6,17.5,12,,,,20.3,24,,17,,28,30,31,24,17,27,12.009,,11.791,11.868,,7.6,,9.5,13.9
7/2/2012 0:00,,9,9.3,8,17.591,9.6,11,,,12,11,,17,,22,,5.8,8.6,14,17.958,16,,24,16,,24,13.8,26.4,10.6,23.508,14.5,,13,16.1,,,4.1,20.2,21.2,9,,,,11.8,15.8,,10,,17,21,20,16,5,13,6.913,,6.631,8.481,,5.4,,6.4,8.5
7/3/2012 0:00,,14,5.1,6,16.913,10.7,11.5,,,22,,,23,,20,,14.1,15,24,31.75,21,17.833,28,23,,21,18,18.6,16.4,25.421,17.4,,14,15.6,,25.2,,21.2,,9,,,,20.2,24.4,,18,,21,26,28,25,19,23,6.003,,8.976,9.929,,8.1,,8.6,11.5
7/4/2012 0:00,,17,7.5,7,16.25,11.7,12.1,,12.1,16,14,,20,15.1,13.3,,15.9,14.6,13,30.583,16,14.042,15,13,,22,15.1,17.7,13.4,29.954,16.9,,14,15.8,,17,7,13.4,14,12,,,,13.4,,,12,,21,26,28,27,11,22,12.013,,12.443,9.308,,7.7,,10.3,10.8
7/5/2012 0:00,,16,11,11,27.143,13.2,10.7,,13.6,13,8,,15,17,,,12.7,18.3,18,34.917,20,23.292,16,17,,22,16,19.1,13.1,24.048,15.4,,20,13.4,,14,14.7,15.5,15.9,12,,,,18.7,27.8,21.4,15,22,23,32,34,28,17,22,14.375,,11.355,12.463,,8.9,,9.8,11.9
7/6/2012 0:00,5,11,8.8,8,18.826,16.9,14.4,,15.5,18,10,19,21,15.6,,,8.7,10.3,19,33.5,20,19.208,23,18,17,20,17.4,18.2,15.4,21.533,18.1,,15,17.4,21.051,19.9,26.4,15.4,17.5,16,15.5,15.5,,19.5,24.8,20.9,10,5,16,20,27,18,16,15,19.468,,19.009,17.832,14.5,11.6,,14,11.9
7/7/2012 0:00,5,10,7.2,6,10.565,15.6,12,,13.9,18,,18,20,11.5,,9.93,7.4,7.7,20,32.125,19,20.375,20,19,,19,19.4,10.9,15.8,22.235,19.1,,12,22.3,22.322,,24.2,16.1,17,15,13.5,13.5,15,19.1,24.1,20.7,16,29,16,21,25,23,17,15,16.739,17.158,18.62,19.733,8.6,10.9,,11.2,13.2
7/8/2012 0:00,5,10,8,8,13.125,10,5.1,,6.4,18,,17,22,8.9,,9.03,7.2,10,17,29.875,15,14.875,21,,15,20,10.6,10.8,12.6,13.921,14.3,,12,,15.969,,21.2,20.1,20.4,10,6.6,6.6,8,15.4,17,15.1,14,16,11,23,19,18,14,15,11.102,7.89,6.504,9.922,9,7.1,,8.1,8.5
7/9/2012 0:00,5,7,5.9,9,12.955,12.2,8.3,,7.5,11,,12,14,6.4,10.2,8.68,10.1,5.9,16,20.542,17,17.958,18,,9,16,9.3,12.8,8.9,10.525,9.8,,9,,13.975,,11.8,13.2,,11,7.7,7.7,11,10.9,,13.4,5,17,5,16,20,14,5,5,12.011,10.177,8.701,8.522,9.6,8.3,,5.6,8.1
7/10/2012 0:00,5,9,6.1,11,15.167,11.5,7,,7.6,15,2.5,13,15,6.5,13.5,9.93,10.7,9.3,16,23.667,19,19.958,20,,14,17,13.3,13.8,11.8,13.646,12.7,,13,11.2,17.062,,15.3,16.7,16.9,11,10.6,10.6,12,10.1,,16.5,,5,11,18,20,17,5,13,8.552,8.187,7.213,8.138,13.7,9.8,10.3,9.3,9.6
7/11/2012 0:00,11,7,2,10,15.292,12.1,6,,8.2,13,7,13,13,12,15.6,10.47,,11.9,15,25.417,15,11.542,15,,12,14,15.6,8.2,11.8,23.6,16.1,,12,13.2,15.064,17,16.9,14.1,14.8,13,9.3,9.3,13,13.5,,18.3,,19,12,17,24,15,5,11,6.732,12.044,8.504,10.41,12.9,9.4,11.6,9.3,9.2
7/12/2012 0:00,5,4,5.7,2,12.19,7.8,8.6,,4.7,11,7,12,13,7.3,9.6,6.5,8.1,7.1,11,23.708,13,,10,,12,9,10.2,8.6,8.7,13.573,9.4,,8,10,13.432,,12.1,9.9,10.4,9,3.5,3.5,9,10.8,,14.3,,5,5,13,17,11,11,5,9.464,13.427,9.559,7.977,7.5,7.1,5.9,5.9,5.6
7/13/2012 0:00,5,4,5.2,6,11,7.7,7.1,,6.1,8,5,6,6,6.5,7.8,6.68,5.4,6.8,7,17.375,8,,9,,7,9,7.6,8.7,5.1,9.575,8.3,,6,7.8,9.44,,7.1,6.8,6.6,10,5.3,5.3,8,6.8,,8.3,,5,5,10,16,10,5,5,4.003,,4.834,7.13,8.2,7.7,6.2,7.1,6.7
7/14/2012 0:00,5,4,6.8,6,7.667,7.2,5.5,,6.2,9,5,7,7,8,9.1,5.79,6,5.9,8,16,9,6.333,10,,9,8,8.4,7.3,5.8,9.371,8.2,,6,9.1,10.71,,7.6,6.8,6.2,10,6.6,6.6,9,7.1,,9.6,,5,5,10,10,5,5,5,5.64,,6.704,9.537,6.8,6.4,5.6,7.3,7.2
7/15/2012 0:00,,5,4.9,6,5.909,5,5.9,,4.8,8,2.5,6,6,4.4,4.9,5.42,4,5.9,7,12.25,7,5.083,7,,6,6,6.7,7.1,5.3,5.926,6.3,,6,6.6,9.075,,6.8,6.6,5.7,6,4.7,4.7,6,7.4,,7.4,,5,5,9,5,5,5,5,3.458,,4.669,5.941,6.3,4.2,8.8,4.9,6.1
7/16/2012 0:00,,7,4.9,7,8.773,6,3.2,18.6,4.7,10,2.5,7,8,8,7.8,7.4,1.8,7.9,7,19,9,8.333,10,,8,9,7.8,,5.8,9.604,8.3,,8,5.7,8.168,,7,7.3,6.9,9,5.3,5.3,7,6.5,,7.6,,5,5,10,13,5,,5,3.276,,4.869,5.019,8.3,6.4,,5.1,6.3
7/17/2012 0:00,5,4,2,5,10.81,5.3,4.5,19.2,4.1,7,2.5,7,7,9.1,8.5,5.79,6.3,4.2,6,18.958,8,8.25,10,,10,10,7.5,6.6,6.2,8.779,8.2,,6,7.8,6.717,8.3,9.4,5.9,6.6,7,4.7,4.7,8,7.4,,9.3,,5,14,12,18,5,5,5,9.463,,5.653,6.893,6.1,4.4,,5.8,6
7/18/2012 0:00,5,7,6.3,7,13.727,6.6,4.7,14.3,4.5,10,2.5,,9,10.7,8.7,9.03,1.8,8,6,20.833,10,7.792,10,,10,11,7.5,6.6,5.6,7.8,8,,8,7,7.261,11,7.4,7.3,7.3,7,,,7,7.5,,10.3,,5,17,13,15,10,5,5,10.74,14.75,5.596,4.82,8.1,5.9,2.8,5.9,5.4
7/19/2012 0:00,5,7,5.7,6,11.227,6.8,5.8,15.2,4.9,10,11,,11,7.5,8.9,6.32,8.1,8.2,8,22.333,10,8.125,12,9,12,11,8.4,7.7,7.1,9.646,9.6,,8,8.3,7.804,8.7,8.3,7.6,8.2,8,4.7,4.7,8,10.2,,10.2,,5,11,13,15,11,5,5,9.465,,6.068,7.177,6.8,6.7,1,5.9,3.1
7/20/2012 0:00,5,7,4.4,7,9.091,5.4,3.7,18.7,3.8,11,12,,11,6.5,6.7,7.22,5.4,7.7,8,14.417,13,12.333,14,11,13,12,7.3,6.2,6.4,7.657,7.6,8,9,8.1,6.715,13,8.2,10,9.5,6,,,7,9.6,,10,,5,5,12,,13,5,5,7.099,,4.342,5.093,6.8,4,9.3,5.1,4
7/21/2012 0:00,5,7,7.9,6,9.913,6.4,6.9,22.1,4.6,9,8,,9,7.8,9.5,4.33,8.7,7.1,9,21.583,19,19.542,17,13,15,13,9.6,6.9,6.9,11.804,7.4,16,9,7,7.259,13,11.1,12.7,13.4,7,8.2,8.2,8,9.8,,12.9,,11,11,18,18,17,5,17,16.741,,5.815,4.833,6.6,5.6,21,4.4,2.9
7/22/2012 0:00,5,6,5.3,6,9.952,7.2,7.3,10.5,5.1,9,2.5,,8,5.4,8.9,3.79,8.9,4.8,6,11.208,13,10.083,14,11,10,17,8,6.9,6.9,9.85,9.1,16,8,6.5,,11,8.6,9.9,10.7,8,2.8,2.8,9,8.2,,8.5,,5,5,17,11,12,5,5,17.105,,6.033,4.893,6.5,4.7,20.3,5.6,4.2
7/23/2012 0:00,5,6,8.6,8,13.05,7.8,7.4,11.2,8.7,11,9,,11,6.5,8.2,8.3,8.5,8.4,8,16.417,20,11,17,11,10,14,10.5,10.8,7.8,8.588,15.4,18,10,8.8,,17,9.7,12.1,13.2,9,8.2,8.2,9,9.7,,10.9,,11,15,16,15,17,,10,9.647,,8.175,4.649,9.6,6.1,9.2,7.4,6.3
7/24/2012 0:00,13,11,12,,18.304,14.1,13.2,14.3,10.8,15,5,,9,9,9.6,17.15,13,12.8,15,22.042,17,16.375,21,17,15,19,10.9,11.6,7.6,12.638,12.2,21,16,15.3,,15,11,14.9,14.4,12,,,15,10.1,,13.2,,15,25,23,23,23,13,16,15.831,13.005,11.246,6.72,13.2,10.9,10,12,11.9
