Kod stacji,LdLodzWSSEMLegiono,SlCzestCzes_rzasa
Wskaźnik,PM2.5,PM2.5
Czas uśredniania,24g,24g
9/23/2005 0:00,13,35.9
9/24/2005 0:00,17,62.9
9/25/2005 0:00,15,39.5
9/26/2005 0:00,19,51.3
9/27/2005 0:00,21,43.9
9/28/2005 0:00,10,20.3
9/29/2005 0:00,10,28.9
9/30/2005 0:00,8,15
10/1/2005 0:00,14,30.1
10/2/2005 0:00,14,51.4
10/3/2005 0:00,17,46.7
10/4/2005 0:00,11,29.8
10/5/2005 0:00,13,
10/6/2005 0:00,12,30.1
10/7/2005 0:00,15,28.1
10/8/2005 0:00,14,34.9
10/9/2005 0:00,19,47.5
10/10/2005 0:00,15,35.3
10/11/2005 0:00,21,45.6
10/12/2005 0:00,23,39.9
10/13/2005 0:00,24,38.7
10/14/2005 0:00,32,55.6
10/15/2005 0:00,17,42.6
10/16/2005 0:00,7,9.7
10/17/2005 0:00,10,12.7
10/18/2005 0:00,30,25.9
10/19/2005 0:00,25,69.3
10/20/2005 0:00,28,63.6
10/21/2005 0:00,23,57.1
10/22/2005 0:00,17,39.6
10/23/2005 0:00,9,18.3
10/24/2005 0:00,14,38
10/25/2005 0:00,12,18.5
10/26/2005 0:00,13,11.5
10/27/2005 0:00,14,22.5
10/28/2005 0:00,15,18.8
10/29/2005 0:00,21,27.7
10/30/2005 0:00,29,80.6
10/31/2005 0:00,27,83.4
11/1/2005 0:00,28,
11/2/2005 0:00,55,
11/3/2005 0:00,39,
11/4/2005 0:00,30,86.3
11/5/2005 0:00,25,
11/6/2005 0:00,23,
11/7/2005 0:00,32,
11/8/2005 0:00,26,
11/9/2005 0:00,43,
11/10/2005 0:00,29,
11/11/2005 0:00,23,
11/12/2005 0:00,27,
11/13/2005 0:00,27,
11/14/2005 0:00,27,
11/15/2005 0:00,18,
11/16/2005 0:00,18,
11/17/2005 0:00,17,
11/18/2005 0:00,18,40.3
11/19/2005 0:00,20,70
11/20/2005 0:00,24,
11/21/2005 0:00,18,
11/22/2005 0:00,20,25.1
11/23/2005 0:00,34,32.8
11/24/2005 0:00,33,55.6
11/25/2005 0:00,36,63.2
11/26/2005 0:00,33,39.8
11/27/2005 0:00,33,52.3
11/28/2005 0:00,32,76.3
11/29/2005 0:00,38,59.3
11/30/2005 0:00,42,98
12/1/2005 0:00,31,90
12/2/2005 0:00,22,26.9
12/3/2005 0:00,29,47.6
12/4/2005 0:00,38,
12/5/2005 0:00,30,61
12/6/2005 0:00,17,21.6
12/7/2005 0:00,20,10.7
12/8/2005 0:00,17,21.1
12/9/2005 0:00,28,22.8
12/10/2005 0:00,36,98.6
12/11/2005 0:00,22,41.4
12/12/2005 0:00,23,38.8
12/13/2005 0:00,21,23.6
12/14/2005 0:00,20,35.6
12/15/2005 0:00,13,
12/16/2005 0:00,13,10.7
12/17/2005 0:00,14,14.6
12/18/2005 0:00,16,
12/19/2005 0:00,32,
12/20/2005 0:00,29,
12/21/2005 0:00,33,
12/22/2005 0:00,22,
12/23/2005 0:00,32,
12/24/2005 0:00,17,
12/25/2005 0:00,15,
12/26/2005 0:00,22,
12/27/2005 0:00,16,
12/28/2005 0:00,21,
12/29/2005 0:00,36,
12/30/2005 0:00,28,
12/31/2005 0:00,,
