Kod stacji,DsLegRzeczA,DsOsieczow,DsWalbWysA,DsWrocGrobla,DsZgorzBohA,KpBydgBerlinga,KpGrudzStar,KpTorunDziewulsk,KpWloclSielska,KpZielBoryTuch,LbBialaPOrzechowa,LbChelmJagWIOS,LbLublin_Sliwins_5,LbZamoscHrubieszowsk,LdLodzWIOSACzernik,LdLodzWSSEMLegiono,LdPiotrkWIOSMSienkie,LuGorzowWIOS_MAN,LuWschowWIOS_AUT,LuZgoraWIOS_AUT,MpBochniWIOSKBar0106,MpKrakowWIOSBuja6119,MpNSaczWIOSNadb6205,MpTarnowWIOSBitw6304,MpTrzebiWIOSZWM0305,MpZakopaWIOSRown1701,MzPiastowPulask,MzPlockPKN,MzRadomHallera,MzWarszUrsynow,MzWarTarKondra,OpKlucz2pyl,OpOpole4pyl,PdBialyWarszawska,PdLomzaSikorskiego,PkJasloWIOSSikorskiego,PkKrosnoWIOSKletowki,PkNiskoWIOSSzklar,PkRzeszWIOSNoweMiasto,Pm.01w.02m,Pm.63.wDSAa,Pm.AM12.a,SkBuskoWios2,SkKielJagielWios,SkStaracZlota2,SlBielbBiel_stern,SlCzestCzes_zana6,SlGliwiGliw_mewy,SlGodowWodz_wodzi,SlKatowKato_aleja,SlKatowKato_kossu,SlTarnoTarn_litew,SlZlotyJano_lesni,SlZoryzZory_sikor,WmElblagWIOS_Bazynsk,WmOlsztyWIOS_Puszkin,WmOstrodWIOS_Chrobre,WmPuszcz_IOS_Borecka,WpWKP001,WpWKPKalisz007/10,ZpKoszalin006,ZpMysMysliborz007,ZpSzcSzczecinek008,ZpSzczecin001
Wskaźnik,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
8/6/2014 0:00,11,10.3,13,16.1,11.1,,4.5,6.5,11.9,5.8,14,12,21,19,9.8,12.5,10.4,7.8,9.8,10.4,11,8,14,18,9,13,12.17,10.16,15.47,12.52,10.89,,9,17.3,13.17,13.5,20.6,18.5,19.8,,,10,12,17.95,13.06,13,12,16,15,13,,14,12,13,4.55,3.794384,3.434303,9.82,10.4,10.7,6.61,14.33,7.4,5.91
8/7/2014 0:00,14,12,14,17.8,11.4,16.5,7.6,8.3,10.7,8.8,16,17,14,17,10.2,11.8,11.8,10.5,16.3,11.6,15,12,17,13,10,18,19.62,9.62,17.82,16.87,16.33,11,11,15.3,11.73,16.3,20.2,18,20.6,5,,12,16.81,18.86,19.96,13,18,24,17,25,,18,11,11,7.646,5.719847,3.90608,6.67,13.4,13.5,10.34,16.33,12.27,13.17
8/8/2014 0:00,17,13.3,16,22.3,13.1,12.8,5.7,6.8,10.1,9.4,14,17,14,16,11.8,14,9.8,10.8,16,14.7,16,12,15,17,12,16,12.9,13.97,11.64,13.61,11.25,17,13,14.8,9.02,14.3,15.1,16.1,18.3,,,12,18.04,16.68,14.69,11,22,25,21,25,,18,12,26,6.189,4.1216,4.868478,6.78,17.6,16.7,13.39,17.42,10.25,12.5
8/9/2014 0:00,15,10.4,13,18.5,11.2,9.5,12.9,10.9,13.2,13.1,12,17,14,16,17.8,21.5,18,8.8,9.7,9,17,14,18,16,12,20,18.34,18.14,15.63,15.24,16.15,21,12,13.1,15.16,14.8,14.5,18,15.4,11,,15,17.77,22.31,20.14,13,20,25,25,24,,17,16,22,8.192,8.987385,7.940329,6.69,15.9,15.4,11.84,15.79,11.43,11.82
8/10/2014 0:00,10,8.3,10,14.2,9.1,,5.7,5.5,10,7.9,,17,17,17,15.3,15.5,13.8,4.5,10.1,10.8,13,10,14,17,10,14,40.65,18.87,19.27,21.77,22.32,,10,18.7,18.05,11.7,13.4,19.6,15.5,4,,7,15.57,19.41,19.23,10,22,20,16,14,,17,15,20,3.094,7.369304,5.177554,12.13,10.1,13.1,6.94,9.43,7.57,11.48
8/11/2014 0:00,10,8.3,10,15.4,9,,6.6,8,10.4,10.3,,17,14,16,16.2,17.8,14.5,4.9,10.2,7.9,13,11,14,15,9,13,10.06,18.33,15.27,17.05,18.69,,9,16.7,17.87,14.5,16.9,16.7,16.2,8,,12,18.6,16.34,16.33,13,11,18,20,21,,13,12,21,8.553,9.604299,8.6478,12.23,14.1,12.3,8.82,9.07,9.25,6.76
8/12/2014 0:00,11,6.2,9.5,12.7,7.7,,6.1,4.4,9.5,7.8,,13,11,11,12.5,12.7,11.3,5.8,10.5,10.2,12,9,14,15,9,11,13.26,12.88,11.82,10.7,12.52,,7,11.5,8.68,9.33,,12.2,11.4,7,,10,12.04,14.51,15.43,7,14,12,13,24,,12,11,,6.37,7.281456,5.34221,5.19,14.7,14.2,6.27,8.89,5.21,5.91
8/13/2014 0:00,9,6.9,8.3,12.5,8.3,,7.6,7.7,9.9,9.3,14,14,14,16,12.5,13.1,12,5.1,8.4,8.4,13,9,17,15,9,15,14.53,13.43,15.27,12.7,16.15,,6,13.8,13.17,12.8,,15.3,14.5,9,,13,17.96,18.13,17.6,10,15,18,12,20,,15,12,13,1.82,9.915284,5.359992,7.55,14.3,12,7.96,11.79,9.25,6.92
8/14/2014 0:00,10,8.2,9.7,12.2,7.7,,5,4.8,8.3,6.3,10,12,8,11,9.6,12.9,7.6,3.6,8.2,8.8,,7,12,14,8,9,9.81,8.53,10.36,9.43,10.71,14,6,8.7,8.66,7.31,,10.8,9.61,6,,13,12.72,11.42,10.16,11,13,10,10,22,12,14,14,14,2.184,5.502238,4.160996,5.56,12.8,10.5,5.6,9.98,5.55,7.6
8/15/2014 0:00,7,5.7,7.7,10.5,6.3,,7.3,4.9,6.1,4.5,14,12,10,11,10.9,10.5,8.5,3.6,7.8,6.8,,9,11,10,9,15,13.8,11.25,11.27,12.52,13.25,9,5,10.7,11.55,9.47,,12.1,10.7,7,6,8,15.62,18.14,14.87,12,11,15,11,18,11,14,12,10,2.73,5.756091,7.867563,6.24,10.5,7.1,6.45,9.98,6.39,7.94
8/16/2014 0:00,6,5,7.4,8.7,5,,2.7,1.6,5.5,2.9,9,10,11,9,8.7,9.3,8.5,2.9,7,6.2,,6,9,12,7,9,10.53,9.07,8.36,9.98,10.53,8,2.5,7.9,9.02,8.23,,9.04,7.85,6,,5,9.61,9.97,11.25,9,13,12,10,15,11,11,11,5,2.366,3.068994,4.725864,4.27,8.3,7.4,3.92,6.35,4.88,6.08
8/17/2014 0:00,7,6.2,7.4,8.7,6,,3.2,4.5,5.9,3.4,8,7,6,7,8.4,8.9,7.1,3.6,6.6,8.8,,7,11,13,6,9,7.26,9.07,8.36,7.44,8.89,8,2.5,6,7.22,6.25,,8.68,9.56,5,,5,13.99,10.88,9.25,9,16,10,11,16,10,13,12,15,2.003,3.667826,3.887834,5.09,9,6.5,4.59,6.89,4.88,5.74
8/18/2014 0:00,8,5.5,7.2,9.5,5.9,,3.9,2.9,6.9,4.3,9,10,8,9,8.5,8.4,10.5,3.2,6.3,6.6,,10,14,12,8,8,10.72,9.25,10.36,9.62,11.11,,7,8.9,10.47,8.27,,10.3,9.61,5,,6,16.16,13.78,12.7,14,15,14,11,18,10,13,11,14,1.82,4.595346,4.215553,6.97,27.6,40.6,4.93,7.8,4.71,5.74
8/19/2014 0:00,9,5.3,7.4,10.2,6.3,,4.6,3.6,5.1,3,,12,8,11,8.2,8.9,7.5,2.3,8.4,7.4,,8,14,9,7,13,9.26,8.89,9.82,7.44,8.71,,5,8,9.75,11.5,,12.1,13.3,5,,6,13.56,11.79,12.15,9,14,14,13,21,12,13,10,16,1.274,4.394064,3.797356,4.73,18.7,8.6,5.45,7.44,4.71,6.42
8/20/2014 0:00,9,6.3,12,10.4,7.1,,5.3,2.4,8.5,3.3,,15,12,12,7.6,10,13.3,3.4,14.1,9,11,9,16,13,9,15,15.26,9.43,11.83,11.61,12.89,,7,10.9,9.93,12.7,11.5,13.4,16.1,4,3,6,13.75,16.14,13.97,11,15,22,13,22,16,9,11,15,2.002,5.048542,4.616092,6.87,63.9,12.9,4.44,5.99,5.72,4.9
8/21/2014 0:00,15,9,12,15.4,9.5,,8.8,6.6,10.3,3.7,,12,10,10,13.3,12,15.1,6,13.9,11.9,11,11,9,15,9,14,17.26,13.24,14.36,17.24,17.97,15,12,12.3,14.8,9.48,12.7,12.7,14.3,4,4,7,14.14,19.23,15.78,12,17,24,20,25,16,19,11,24,3.276,4.085101,5.051276,6.31,21.8,16.2,5.79,7.26,6.41,4.73
8/22/2014 0:00,14,9.2,11,16.5,10.3,12,12.7,9.1,12.1,5.8,,12,9,10,17.5,18.7,18.5,7.9,11.2,11.7,11,13,13,13,8,21,12.9,14.15,13.82,12.34,15.06,8,10,14.6,13.18,9.02,9.82,10.3,8.53,12,7,15,13.9,17.95,14.69,10,16,30,18,31,18,19,13,15,6.369,7.445624,7.941008,6.96,22.4,16,10.23,14.51,10.59,10.13
8/23/2014 0:00,9,7.1,12,12.2,8,7.6,7.3,9,11.1,6.1,,14,18,19,13.6,17.3,25.1,6.3,10.4,7,13,14,14,11,10,15,20.34,13.61,17.63,12.88,17.6,9,8,18.7,18.41,13.5,16.1,16.9,15.3,13,7,17,17.88,23.4,23.22,13,18,16,15,25,16,11,15,24,3.457,8.608306,8.503355,6.35,16.9,11.6,7.67,11.07,7.73,7.77
8/24/2014 0:00,5,5.2,9.2,9.5,5.6,7.2,7.9,7,8.9,3.8,,8,9,6,14.4,14.5,18.9,4,7,5.8,9,9,9,11,8,8,14.53,11.07,17.45,12.34,13.97,16,7,12.6,12.63,8.19,12.4,11.5,10.5,10,,14,16.26,15.96,16.51,14,13,15,12,18,15,8,13,11,2.913,4.230195,4.725288,6.4,11.4,10.3,5.09,7.08,7.23,5.58
8/25/2014 0:00,10,7,11,12.3,9.1,4.4,4.6,5.5,5.9,10,12,10,8,7,10.4,14.7,10.7,6.1,11.3,8.2,9,7,11,13,7,11,10.36,8.53,9.82,9.25,8.53,,8,7.4,7.22,9.49,11.3,9.71,11.1,6,,17,15.07,14.52,12.33,11,12,9,17,22,12,15,12,2,3.095,4.03053,3.542897,3.21,22.9,11.7,5.14,6.89,5.55,7.43
8/26/2014 0:00,13,8.4,13,15.1,11.2,,6.3,6.6,7.2,5.7,3,11,11,9,17.8,11.1,19.3,8.3,11.5,13.2,10,9,14,13,8,9,15.07,14.33,14,13.97,15.61,,8,14.4,6.86,11.2,12.1,13.1,12.5,9,,5,18.49,17.23,15.6,11,17,13,21,,17,11,12,,6.026,5.175683,3.617301,5.49,16.6,20.3,5.1,11.43,7.56,8.95
8/27/2014 0:00,8,6.4,13,13.1,7.8,,5.4,5.2,10.1,4.5,11,13,15,13,14.4,19.3,14,7.8,10,7.6,12,9,11,13,11,11,15.62,11.79,14,12.7,12.88,,13,10.1,11.01,10.5,11.5,14.8,14.5,7,,5,16.92,17.95,15.96,13,17,13,24,,16,12,11,24,7.281,3.104417,3.489646,4.24,13.2,14.7,5.45,10.7,4.2,
8/28/2014 0:00,12,7,13,16.5,10.5,,5.3,5.3,10.9,4.2,7,10,8,8,8.4,17.1,17.1,9,16.2,10.1,12,11,13,20,13,14,8.72,8.53,8.54,9.98,9.8,21,8,7.3,7.94,10.4,12.9,8.18,11.5,4,,18,12.59,15.6,11.43,18,16,18,17,,,11,10,19,4.003,2.959767,4.107336,2.75,9.9,13.8,5.81,11.43,5.72,4.73
8/29/2014 0:00,16,9.4,12,19.1,11.1,,17.7,14.2,10.6,6.4,12,12,11,12,15.3,17.1,28.4,7.6,13.3,10.8,14,13,19,16,10,15,13.99,13.61,16,13.61,13.97,26,12,12.9,12.99,12.7,18.9,15.9,15.1,3,,25,25.19,33.38,23.22,13,21,15,15,,,16,16,20,4.004,10.001797,8.413042,3.55,17.8,22.8,9.51,18.33,10.25,5.24
8/30/2014 0:00,18,8.3,15,13.8,11.9,,13.5,8.9,10.4,7.4,23,21,19,14,14.7,16.4,14.2,11.9,13.5,10.6,14,15,20,19,14,18,20.53,16.33,22,17.78,17.42,11,9,18.3,23.64,18.6,21.6,17.7,19.2,8,8,2,23.91,27.75,23.4,11,15,21,15,15,17,14,15,12,7.461,10.92791,12.409585,9.36,16.2,15.8,7.33,11.82,10.76,8.78
8/31/2014 0:00,12,6.8,12,11.8,8.7,,14.7,6.2,8.4,7.6,14,12,14,15,11.3,12.4,13.3,9.9,11.6,7.3,14,12,18,18,11,16,17.8,15.78,15.63,16.33,17.96,8,7,11,14.44,14.4,19,15.4,17.2,6,,12,25.02,27.93,21.04,12,15,19,13,23,16,11,16,13,5.824,7.352968,6.775548,5.58,17.1,11.1,8.06,9.98,11.07,8.45
9/1/2014 0:00,10,,6.1,14.5,11.1,,4,3.9,5.7,4.9,8,12,12,16,16.2,11.8,16.5,8.7,12.8,10.6,16,12,14,14,14,17,12.9,11.61,17.09,10.52,12.35,,9,5.5,6.5,18.1,18,15.7,17.8,2,,7,24.29,27.93,19.59,14,20,14,19,18,22,13,15,22,2.548,7.283348,2.998664,3.63,18.4,17.8,5.95,12.34,5.55,9.97
9/2/2014 0:00,8,4.8,6.5,8.3,5.4,4,5.1,5.6,6.1,3.8,6,9,10,17,9.1,11.1,11.8,6.7,10.6,8,17,13,18,17,13,19,9.81,8.71,12.36,7.08,9.25,,7,7.3,5.96,21.1,27.9,15.8,19.8,4,,7,22.76,19.04,11.06,13,11,16,21,16,17,16,13,20,2.912,4.721204,2.888782,4.51,9.7,10.4,4.61,9.98,6.56,10.98
9/3/2014 0:00,14,,20,13.2,12.7,5.3,6.4,3.4,8.7,4.6,7,9,8,12,10.2,11.5,12,6,13.1,7.3,20,14,28,18,14,26,12.17,10.52,13.84,11.25,10.53,,12,7.7,9.93,21.8,23.5,15.2,18.8,5,,9,19.81,19.4,13.6,20,15,21,24,16,18,15,12,20,3.094,6.718807,4.014948,5.07,10.5,11.3,5.98,10.52,7.06,7.94
9/4/2014 0:00,16,,18,14.2,13.9,7.1,8.1,5.3,6.7,4.2,9,9,8,13,8.5,11.1,9.8,8.8,16.4,9,16,10,18,13,9,21,10.91,11.97,14.36,11.97,11.07,,10,8.6,9.03,15.3,16.2,9.78,14.1,6,14,10,16.19,18.32,7.98,10,17,15,21,20,18,12,13,16,4.004,9.296853,5.178523,6.55,11.5,13.9,7.18,9.98,8.91,10.47
9/5/2014 0:00,20,,27,18.9,18.9,8.9,8.7,11.2,8.9,6.6,13,12,13,21,12.9,14,14.2,12.3,21.3,9.6,27,16,28,22,17,24,16.16,16.33,15.45,13.97,14.88,,14,13.8,10.29,28.8,28,15.6,26,9,,16,24.89,22.31,15.78,13,16,12,28,16,18,17,16,17,6.186,14.055146,8.139653,7.23,17.1,17.2,10.69,19.41,14.46,14.36
9/6/2014 0:00,29,19.8,27,38.7,21.9,14.9,17.6,18.4,20.4,9.1,19,22,22,34,23.3,26.5,25.5,18.1,34.2,10.3,,27,29,46,30,23,29.24,24.13,28.91,22.86,21.6,,21,21.4,20.39,41.3,38,34.1,46.2,13,9,18,41.98,34.1,26.85,24,18,23,31,24,38,34,25,12,10.741,11.655117,12.04631,9.74,27.8,32.3,14.37,24.13,21.17,18.07
9/7/2014 0:00,24,16.3,19,30.8,15.8,21.2,17.8,21.3,22,13.2,18,26,21,29,26.9,31,37.8,22.9,23.1,9,23,19,29,36,18,19,27.97,28.85,31.27,27.4,27.76,,16,19.4,21.66,32.7,24.7,32.6,30.2,16,13,20,40.99,41.72,43,10,13,28,20,40,29,24,29,15,13.647,13.399593,12.228782,11.62,30.5,31.9,18.7,26.85,22.01,24.15
9/8/2014 0:00,27,17.1,17,25.8,23.1,24.7,18.3,18.2,23.3,12.2,23,33,28,29,31.5,35.1,30,14.6,26.1,9.7,23,17,29,24,19,21,24.53,36.83,25.63,28.99,30.31,,15,23.8,19.85,32.1,40.3,21.1,41.2,17,16,25,26.84,30.14,30.66,13,12,37,25,29,28,21,21,22,16.205,18.647875,16.334139,13.87,29.4,32.7,13.37,17.24,16.14,14.02
9/9/2014 0:00,18,12.6,18,17.8,14.7,10.8,8.9,8.7,12.8,5.4,30,39,31,35,15.6,22.2,18,8,13.3,9.3,25,17,23,21,19,18,22.16,22.32,19.63,23.04,30.49,,12,24.3,21.66,25.8,28.2,31.1,30.6,9,12,15,16.79,23.21,22.68,17,17,,23,31,22,15,20,,8.735,12.093699,11.791831,13.19,18.6,18.5,8.57,11.98,8.74,9.29
9/10/2014 0:00,19,10.4,16,14.5,9.7,6.7,7.1,5.4,11.1,2.6,20,20,17,17,13.5,16.2,20,4.3,11.7,8.6,22,11,20,20,13,23,17.44,13.97,17.45,15.78,19.05,,9,20.3,18.41,15.3,16.9,19.7,20.9,5,,9,20.49,17.59,15.06,11,17,10,17,24,17,11,9,9,2.911,7.7555,4.507485,9.32,13.4,15.5,5.16,8.89,6.05,6.08
9/11/2014 0:00,17,12.3,15,16.7,12.9,10,9.3,9.3,10.5,5.1,19,18,19,21,19.5,20.4,21.6,7,24.2,9.3,20,12,19,19,12,18,24.89,19.59,27.09,19.41,23.95,17,9,16.6,17.51,16.2,12.7,23.4,22,,,9,23.45,26.84,20.5,18,16,20,22,18,25,19,16,11,4.368,8.426849,8.285877,,13.5,21,7.71,12.88,9.75,9.97
9/12/2014 0:00,31,19.5,21,29,24.7,18.5,15.7,17.4,18.1,11.7,20,20,20,23,9.6,26,25.1,11.7,30,11.6,22,14,20,25,17,24,22.52,23.04,26.73,21.23,24.5,21,15,17.2,17.15,21.9,19.3,27.6,24.8,,14,19,22.11,27.39,23.4,14,21,21,27,29,27,20,20,21,10.556,14.839544,14.647781,,24.7,25.6,12.85,17.96,13.11,15.54
9/13/2014 0:00,23,17.5,18,21.2,19.5,20.8,21.6,22.7,22.1,14.8,21,23,23,28,28.4,30.2,32.7,16.1,29.7,30.9,23,15,24,27,16,26,23.25,23.95,31.99,21.41,22.87,17,10,19.9,20.76,19.8,22,26.7,34.2,46,16,22,25.98,31.01,33.93,13,15,22,26,31,31,20,20,18,13.099,14.743826,16.007413,,32.8,29.8,18.06,26.13,19.16,21.96
9/14/2014 0:00,34,25,27,31.4,24.8,18.9,17.5,18.6,17.5,14.7,21,23,21,25,23.5,24.4,25.8,16.1,24.7,25.8,22,14,22,27,21,19,23.25,21.41,28.72,22.5,23.23,22,24,20.6,21.66,18.2,16.9,23.7,27.9,9,,,25.21,22.67,23.77,19,15,34,32,38,39,33,24,17,13.832,15.123127,17.802063,,26,26.1,19.81,20.87,18.33,20.1
9/15/2014 0:00,28,21.9,26,29,22.9,20.1,15.8,16.3,19.1,13.8,7,16,16,20,19.1,21.1,21.1,18.8,26.3,26.6,31,20,24,29,21,23,18.53,18.51,25.09,15.06,17.78,21,18,8.7,11.01,24.2,28.4,21.3,25.6,29,,,22.96,23.76,20.32,14,20,24,25,25,30,22,25,21,5.46,8.733276,9.956594,6.6,24.5,24.2,21.74,25.4,19.5,24.99
9/16/2014 0:00,,23.7,32,24,27,9.2,9.1,8.4,22.1,6.7,10,14,16,19,14.2,13.5,15.1,11.6,22,22.6,31,20,29,26,21,23,13.08,14.15,17.82,10.7,14.76,19,18,11.1,11.01,23.5,26.1,15,20.8,3,8,11,16.61,17.41,14.69,20,11,28,31,24,32,20,17,23,4.549,10.676932,7.489384,7.79,17.1,17.3,9.35,21.77,11.43,19.09
9/17/2014 0:00,,21.9,32,22.5,19.5,14.9,10.9,12.3,21.7,9.4,11,19,19,22,17.5,18.9,19.8,13.7,25.6,22.6,27,19,23,23,21,25,16.89,18.14,21.31,15.78,16.15,,16,13.5,12.99,23.8,21.1,20.8,23.5,8,10,15,20.89,23.22,20.86,8,17,27,32,25,31,22,18,22,6.186,12.818534,10.267575,8.43,17,21,14.03,20.32,13.45,17.4
9/18/2014 0:00,,15.4,18,23.6,15.4,20,16.2,18,32.4,14.5,17,27,28,32,22.9,28.2,30,17.5,20.2,20.3,25,22,21,24,23,22,25.06,22.68,23.81,22.5,22.14,30,18,17.2,19.49,21.4,20.1,27.7,27.7,34,16,6,25.05,26.48,26.12,14,33,26,25,35,32,27,25,21,12.374,16.81536,15.533734,14.67,25.1,28.7,20.02,25.4,18.32,20.27
9/19/2014 0:00,29,18,21,27.8,21.2,23.3,23,23.1,28.6,18.4,21,33,27,29,23.3,27.6,31.1,18.3,20.8,21.2,23,24,22,22,21,27,35.6,26.13,29.27,34.65,35.21,21,18,22.1,23.47,23,21.9,28.1,24.1,24,20,8,23.5,25.75,28.12,9,14,23,23,27,21,22,20,14,21.291,24.512296,26.465502,18.8,34.4,29.8,25.28,25.22,24.54,21.11
9/20/2014 0:00,18,15,17,23.4,14.2,22,26.3,29.3,38.4,18.1,30,31,33,33,30.2,36.4,34.4,24.5,17.9,21.4,29,20,31,30,25,27,42.14,30.3,32.9,37.37,42.28,,15,23.9,26.71,25.4,23.3,40.5,30.5,25,26,27,27.26,33.01,31.93,9,28,28,29,29,30,30,23,16,16.925,21.879017,19.557129,20.43,32.4,37.6,24.68,32.3,26.89,23.98
9/21/2014 0:00,13,10.5,12,17.8,8.7,27.3,29.3,29.6,30.6,17.3,30,21,19,19,18.2,23.3,20.9,12.8,12.6,14.8,21,15,20,22,26,13,27.61,36.83,19.09,23.77,27.95,,10,33.5,38.45,14.7,13.1,22.9,19,23,20,14,17.74,19.59,18.32,16,13,14,19,26,23,18,17,10,23.663,21.457513,18.894147,27.26,22.2,22.9,19.78,19.23,16.64,17.4
9/22/2014 0:00,11,8.3,11,13.1,20.2,7.4,7.5,8.7,13.8,4.8,19,18,15,13,12.9,14.7,14.9,8.7,7.4,8.8,13,8,14,19,14,13,16.56,14.15,13.82,,17.42,,7,15.4,17.51,11.5,11.1,,12.3,5,4,7,11.85,13.1,12.34,10,6,9,9,8,13,9,10,3,3.822,4.811236,5.45282,10.12,13.4,12.5,6.07,11.07,4.37,9.8
9/23/2014 0:00,,7.4,12,11.6,16.4,4.7,3,4.4,10.5,2.7,10,12,8,10,6.4,9.1,8.7,7.1,9.8,8.2,13,8,9,17,11,11,11.08,8.71,8.36,13.97,9.8,,2.5,7.4,7.04,9.19,12.4,,9.85,7,7,31,8.88,7.98,,9,7,13,8,8,10,7,8,,1.82,2.52489,3.997616,3.92,10,11.8,7.44,13.43,4.88,9.8
9/24/2014 0:00,,12.5,13,17.2,11.5,14.5,10.5,11.5,19.8,6.8,10,14,11,11,11.6,15.1,16.7,10.7,18.4,13.3,18,15,16,18,17,25,13.44,11.79,12.18,11.43,14.34,13,8,13.4,15.34,11.2,14.7,,7.8,12,9,55,14,16.14,15.06,6,21,24,23,31,22,22,12,13,1.82,3.052392,5.6521,5.86,20.8,19.2,10.19,18.32,10.42,10.81
9/25/2014 0:00,13,9.3,12,18.3,8,15.2,17.9,14.1,18.1,8,18,21,17,17,16.7,22.4,22.5,9.8,9.7,12.4,18,21,24,21,24,21,19.43,17.42,21.45,17.78,20.51,14,11,15.8,22.38,17.9,14.2,,15.1,28,12,33,20.64,17.59,16.51,7,14,17,30,25,12,20,19,8,5.825,8.46099,10.520291,12.41,21.6,19.5,10.86,14.33,10.43,12.5
9/26/2014 0:00,10,6.3,6.7,10.7,8.1,8.2,6.8,7.9,,2.9,25,43,22,25,10,13.8,12.2,7,10.9,9.6,16,11,17,22,20,16,21.8,10.89,16.91,20.5,18.51,10,8,13.2,21.66,13.7,14.7,17.6,16.6,9,6,16,15.18,25.21,17.6,11,8,11,13,13,,10,11,12,0.91,5.773672,6.975642,5.92,12.4,17.4,6.88,10.34,6.22,9.97
9/27/2014 0:00,17,9.7,14,13.4,10.1,9.2,8.9,8.5,,1.9,24,29,17,19,9.1,4.4,12.5,5.8,16.7,10.8,27,15,27,24,17,24,13.62,9.8,12.91,13.97,12.7,15,7,11.5,22.2,16.5,14.2,17,19,8,7,7,14.91,27.21,12.33,15,16,13,25,18,16,10,10,13,1.82,7.082217,4.270126,4.61,13.8,14.9,7.77,12.7,6.22,8.95
9/28/2014 0:00,19,13,14,17.8,10.9,12.8,6.5,12.1,,5.6,18,21,17,15,15.1,14.9,23.5,9.9,16.3,13,21,18,20,24,25,18,21.98,12.88,14.36,15.97,16.51,17,10,18.7,14.98,12.8,16.7,21.9,19.6,9,9,14,17,22.67,14.87,17,42,36,42,29,33,23,15,11,2.366,9.392281,6.776545,5.59,20.6,23.5,10.7,22.5,9.41,13.17
9/29/2014 0:00,29,12.4,12,19.2,11.7,22.2,34.9,25.9,,10.9,35,24,21,18,20.5,40,25.6,17.4,18.4,14.6,23,27,24,18,19,20,26.52,21.41,21.45,25.04,33.25,15,12,32.4,35.74,15.1,11.4,23.9,15.7,12,14,32,26.56,26.85,20.5,10,22,13,17,22,20,9,15,11,8.188,14.637513,18.18912,7.86,26.8,29,16.78,33.2,17.82,21.79
9/30/2014 0:00,19,12.3,23,25.4,14.5,38,46.4,46.4,,9.8,52,38,40,31,36.9,29.6,32,16.8,20.3,15.8,26,31,26,30,27,21,39.78,38.28,30.36,37.74,38.97,28,15,30.3,34.65,19.5,20.4,24,19,10,,27,27.12,41.18,27.94,11,25,25,21,35,20,28,15,18,12.555,14.180946,18.619234,7.57,47.5,42.7,18.93,32.66,20.68,27.2
10/1/2014 0:00,17,11.8,18,22,19.5,13,13.30717,15.07176,,9.3,12,15,13,24,7.3,14.4,13.6,15.3,22.6,15.4,45,41,39,38,38,20,20.7,18.87,22.58,18.14,19.42,18,12,7.5,12.63,28.2,28,18.7,34.2,9,,17,33.01,34.64,21.77,23,22,26,33,28,28,14,21,19,2.911,11.876183,5.921577,10.5,25.42,31.38,13.31,27.94,12.78,23.82
10/2/2014 0:00,25,16.1,21,26.3,18.3,15.8,24.469153,16.933732,,11.1,18,18,17,25,18.9,31.3,22.7,21.8,27.9,28.6,30,25,24,22,21,19,22.52,16.33,24.36,19.59,20.51,22,11,29.6,25.81,17.8,18.1,18.3,20.8,20,,29,20.65,27.93,20.5,11,13,23,37,19,21,15,15,19,11.103,16.214106,12.316322,10.89,22.53,35.5,20.99,25.94,16.31,28.04
10/3/2014 0:00,27,17.7,30,29.6,21.2,20.3,54.746467,34.635688,,14.6,30,34,28,37,22.5,39.5,32.2,17.7,37.3,21,37,31,26,32,29,15,,35.2,36.35,33.38,34.3,30,14,42.7,41.87,22.5,22.6,35.4,37.5,26,17,48,27.049,33.56,33.02,24,23,42,43,29,25,18,19,22,17.105,29.16336,18.912933,14.17,33.34,37.44,17.75,22.86,25.39,25.51
10/4/2014 0:00,32,25.2,41,30.3,27.4,26.7,45.43536,40.663014,,24.8,34,38,34,42,30.7,35.5,38.2,26.8,31.9,27.7,46,39,32,41,29,23,47.22,36.1,43.63,40.82,48.81,25,18,53.3,46.02,27.1,25,41.7,37.1,31,21,49,25.14,37.73,39.19,24,32,37,45,27,28,32,24,10,12.736,31.009779,21.60514,17.18,37.22,41.71,24.85,33.02,24.21,30.42
